room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
48625,100000000,1333,466219,155904,36594,6099,52137938,9393237,1141,14000396,48,1.4987728752532,75.296239171587
48595,100000000,1247,157160,52569,12381,2060,32798269,5054307,1500,14154610,63,6.9807190126276,38.628645273877
48581,100000000,1081,55259,18486,4119,680,72471483,3075349,1500,11219576,31,2.7559279044302,36.443311069172
48583,100000000,1174,92840,31050,7288,1211,77447045,3658564,1500,12408924,41,4.7302999274201,39.883235802481
48520,100000000,1304,96936,32427,7371,1226,47371322,5208259,1500,14033636,14,2.8263709906496,51.427854548527
48294,100000000,1257,350523,117234,27426,4571,96819969,22984240,1429,21101464,65,2.2462616025873,44.565943292521
48273,100000000,1253,339940,113694,26544,4423,70480930,20031195,1500,21302815,39,2.1509344185828,43.296858454175
48275,100000000,1152,208661,69780,16092,2682,110298086,23837872,1500,20416702,29,4.4388284429735,45.92335165207
48293,100000000,1248,408575,136644,31656,5275,92752750,27028736,1500,22172729,107,3.2176995018063,50.690486119799
48274,93329699,1500,636619,212919,48792,8131,127719417,22730216,1500,24462351,564,5.6454184764663,64.420462275206
48272,65911839,1500,735954,246141,56892,9481,144852197,23027410,1500,18891002,360,4.3521315423037,45.224660170179
48297,65069967,1500,794809,265829,61800,10300,105160642,22517819,1152,16222287,359,4.295000034378,50.891284244298
48930,61043199,1500,599111,200364,47982,7996,36724789,8950696,1016,11286369,381,6.0466420530962,422.67711584035
48403,53727908,1500,499073,166916,39408,6568,102341497,17191191,1163,13281982,364,8.0077963768313,73.18295273314
48271,51820899,1500,570619,190815,44790,7464,114514397,21102316,1499,15587731,311,4.6618334366445,43.969406765167
48295,48876992,1500,517181,172958,41286,6881,75017929,14778974,1311,12021999,276,2.2885091845309,52.601437861333
48404,45018629,1497,622176,208080,49092,8181,87320020,12055252,1111,9814087,230,5.1629647196889,69.214670429798
48296,41010167,1499,667446,223229,51912,8652,107842052,15178686,1170,11288418,241,5.3676355542195,59.742818510845
49050,30591039,1500,375504,125583,30744,5123,33559893,6306221,1472,7900403,714,21.823611596038,73.348926384846
48915,28644999,1450,879706,294240,70302,11716,45676911,11366630,1224,20147503,466,4.9766888952626,531.10309979055
48376,22291099,1500,393642,131643,33372,5561,47494016,3995771,1050,4487303,102,6.141924642891,310.17234403646
48380,14209899,1498,337655,112935,27738,4622,43301390,2568956,1019,2680295,93,4.6788157275658,390.301700244
48237,10029829,1486,644779,215646,55026,9170,33883030,3589633,1094,3396587,91,2.0149799997974,227.65990344856
48669,9916159,1434,104826,35031,7866,1311,52819781,1147948,984,2136730,137,2.8555852254306,282.93725274316
48219,9862872,1143,396203,132503,30282,5047,53748641,4396231,921,3721448,67,8.8668898687582,348.42285970779
48278,8998514,1296,200855,67186,15828,2638,21476183,1823816,991,1914267,47,2.6084173910683,356.17505355915
48173,3980998,1498,360269,120491,31506,5251,30762391,1884216,995,1338090,60,4.5554662928609,327.29522031799
48140,3009479,1496,632978,211710,55704,9283,28881652,1830013,994,1378781,67,1.4307754708303,314.91647273937
48261,2541211,1499,192928,64526,16686,2781,21233290,682004,981,740284,47,3.2079478769069,318.84136413226
48141,2049649,1499,325191,108759,27786,4630,24782594,1287919,984,817792,61,1.3795834927355,437.52734430829
48175,1960729,1497,496748,166128,42600,7099,24059765,1503965,1012,1142396,75,2.0315762512614,398.4251729666
48241,1864925,1496,698931,233748,60030,10005,28251787,1856081,989,1313473,76,0.88668856309507,459.90716044839
48171,1691087,1499,587088,196362,52140,8690,26480805,1657233,999,1164716,69,2.5747766245329,479.32273896988
48151,1437399,1499,484167,161931,43536,7255,23253676,1478254,1003,1096390,67,2.3877834855054,482.55091298424
48197,1413237,1218,128239,42892,10404,1734,18159451,415299,982,517602,70,0.69181730765031,90.628455258564
48190,1316107,1496,194382,64998,16296,2716,17904440,715025,993,659585,47,1.6912805012303,306.40751294856
48213,1267169,1493,552373,184764,48318,8052,28753924,1632302,1006,971339,79,9.3671465292385,495.7088616236
48179,1249779,1498,490189,163950,44448,7407,24851453,1371020,997,875951,49,4.0483694126439,401.45460009196
48178,1237928,1500,283358,94763,24690,4115,22469238,885503,1006,676331,60,3.5935420703078,469.19011536492
48174,1223079,1500,318752,106599,28584,4763,22212708,680514,1003,636649,64,6.7881109014054,309.4234363974
48159,1208668,1499,353517,118230,31596,5266,27230268,993834,1008,762089,54,3.4578432314336,166.13809437699
48221,1187799,1491,299087,100026,25698,4282,25693712,921809,996,626972,72,3.3724969584923,424.85545027303
48208,1177620,1496,572704,191573,51306,8551,29420829,1554849,1010,1084468,77,17.458715952208,302.46606098891
48143,1079835,1304,113394,37935,9210,1535,15606678,403554,984,534395,47,2.9171909922176,209.67675032865
48264,963439,1500,477703,159771,41106,6851,20205855,1033240,996,861658,87,1.0312358286936,343.35057541908
48230,886610,1500,486457,162684,41922,6987,21136749,963888,1016,813815,82,5.1492763457685,559.72681471174
48220,851760,1498,221796,74184,19050,3175,19904015,612574,1012,548575,68,2.8296920356046,152.75345840999
48224,811847,1497,293873,98299,24918,4153,20583297,841802,990,675840,74,5.9555830911903,342.55689877692
48189,774099,1498,627480,209847,53958,8992,21739097,1378091,1003,950515,75,2.494132388973,346.47903760118
48157,766399,1498,460472,153987,40074,6678,19583760,1080978,1012,777722,67,0.75813343263209,268.01222809207
48202,759385,1333,228028,76276,18720,3120,18896196,706521,1000,520053,65,3.4179623529498,362.52155155878
48379,693029,1237,66839,22338,5729,954,17695023,272983,1019,204839,36,4.1646419321684,148.02136611662
48501,672039,1026,10316,3369,759,126,8201135,135515,985,201221,15,1.411313412498,72.365921122933
49245,650364,1052,5005,1674,384,64,2731819,79791,1000,778210,114,3.5779820731557,43.749668894185
48450,637341,1018,22493,7497,1938,323,11627650,135555,974,180101,32,0.75907426533894,266.4075321946
48196,607249,1480,408727,136692,35916,5985,19178548,833723,1028,748173,52,17.001497311606,343.74747179321
48144,597529,1500,381160,127482,33882,5646,22295489,1060407,1004,646156,68,3.2317710485327,270.63873175013
48265,592019,1082,46183,15447,3999,666,11293923,195851,994,293703,37,3.4176007952095,145.42958464695
48231,554249,1237,79011,26418,6551,1092,14302106,274396,980,383746,42,1.4609104298619,116.64636919013
48269,551399,1090,99394,33234,8356,1393,13265490,275004,944,306560,31,1.0267118033743,72.682752557217
48181,544863,1159,62141,20791,5214,869,13410503,210943,993,281996,33,3.9294194239172,154.68419206743
48984,536518,985,7374,2434,558,93,5206853,107209,993,180597,21,1.3679079760922,25.04474258094
48839,532899,1029,9865,3264,792,132,13227781,113956,984,304444,39,4.7601840756834,77.403123389989
48368,512329,1149,41033,13722,3551,591,12599654,139246,979,208276,15,1.946772003981,156.46634492916
48263,507962,1497,202270,67661,17052,2842,18421836,508559,995,465178,62,4.8896341728739,318.2486060017
48233,496469,1496,407690,136341,34956,5825,19909202,855125,980,580061,55,3.9188407836192,190.2270311384
48372,494618,1118,21879,7285,1800,300,12143528,84360,980,124409,33,1.1494561034112,45.491027518514
