room,level,num_players
37559,640,1500
37558,639,1500
37651,436,1500
37584,434,1500
37561,421,1500
37554,369,1500
37569,367,1500
37556,339,1500
37645,333,1500
37560,322,1500
37552,309,1476
37578,305,1271
37567,301,1368
37555,299,1180
37562,298,1332
37581,295,1363
37557,290,1178
37586,286,1220
37573,281,1163
37583,279,1171
37568,278,1215
37572,278,1245
37580,272,1207
37574,269,1254
37565,269,1192
37600,269,1129
37575,267,1293
37587,264,1191
37553,262,1280
37563,259,1317
37576,258,1227
37579,256,1123
37582,255,1160
37601,254,1079
37621,249,1070
37603,248,1100
37585,242,1136
37602,238,1093
37593,226,1086
37671,223,1500
37564,221,1034
37611,221,1040
37613,219,1069
37566,217,1106
37608,210,1064
37609,210,1078
37606,209,1089
37597,207,1093
37607,205,1067
37589,202,1129
37588,201,1063
37623,200,1055
37599,199,1041
37571,199,1046
37592,198,1013
37610,192,1066
37570,190,1048
37618,189,1028
37590,189,1032
37616,189,1022
37596,188,1060
37595,187,1031
37594,185,1032
37605,185,1050
37598,184,1082
37631,182,1047
37639,182,1040
37622,182,1062
37646,182,1049
37617,179,1072
37614,178,1097
37604,178,1038
37577,177,1067
37615,177,1107
37620,175,1085
37591,170,1014
37619,169,1062
37612,168,1032
37649,164,1046
37657,163,1010
37625,161,1085
37624,160,1017
37655,159,1024
37632,155,1033
37637,155,1017
37636,154,1021
37648,154,1003
37658,150,1022
37647,150,1036
37638,149,1034
37634,149,1019
37644,149,1012
37681,147,1009
37633,147,1026
37650,146,1003
37627,145,1077
37630,145,1031
37652,144,1012
37626,143,1019
37654,141,1036
37641,140,1023
37629,140,1021
37653,139,1032
37687,139,1046
37656,138,1027
37659,136,1024
37643,135,1014
37640,134,1017
37642,131,1038
37667,130,997
37635,128,1008
37628,127,1153
37690,126,1026
37665,124,1023
37683,120,1024
37673,119,1015
37685,119,1011
37693,119,1023
37661,118,1005
37688,117,1019
37672,117,1006
37691,116,1039
37670,114,1017
37663,114,1018
37695,113,1044
37668,112,1016
37692,111,994
37684,111,998
37686,111,1002
37682,110,1017
37694,109,994
37679,108,998
37678,108,1014
37660,107,1005
37680,107,1015
37666,107,1027
37676,107,1007
37674,105,1014
37675,105,1031
37677,104,1015
37669,103,1011
37662,101,1003
37664,101,1001
37723,98,1017
37689,95,1001
37706,91,1011
37700,89,1014
37707,89,1101
37705,88,1011
37702,86,1029
37717,86,1006
37704,86,1008
37703,85,993
37719,84,998
37696,84,1003
37697,84,997
37712,84,1007
37722,84,1003
37701,83,1005
37709,82,999
37726,82,1015
37731,82,1013
37727,80,1004
37728,79,997
37714,79,990
37721,79,1007
37718,78,1001
37713,77,1017
37711,76,1018
37716,76,1009
37699,76,999
37729,76,1019
37730,75,1003
37724,72,996
37725,72,1015
37698,71,999
37708,70,1004
37720,69,1009
37715,69,995
37710,65,993
37759,55,1017
37739,50,995
37742,47,1011
37758,46,1000
37738,46,1002
37763,46,1003
37765,44,1005
37740,44,996
37732,44,984
37753,44,998
37747,43,1010
37748,42,1001
37754,42,1005
37755,42,1011
37736,42,1006
37745,41,1001
37766,41,1017
37737,40,1014
37762,39,993
37752,38,1016
37743,38,1001
37741,38,998
37749,38,994
37735,38,1003
37733,36,1005
37734,35,997
37767,35,1004
37757,35,999
37756,33,998
37764,32,991
37750,29,1005
37761,29,1004
37744,29,996
37746,27,996
37760,27,1015
37751,27,998
37795,9,998
37775,7,990
37778,6,1000
37783,4,993
37794,3,997
37768,2,995
37799,2,998
37774,2,992
37776,2,1001
37803,0,975
37821,0,1
37816,0,0
37834,0,30
37787,0,775
37826,0,63
37839,0,1
37820,0,44
37801,0,1001
37831,0,346
37798,0,998
37785,0,892
37836,0,1
37809,0,62
37840,0,1
37828,0,0
37806,0,1
37844,0,1
37817,0,22
37812,0,152
37842,0,1
37843,0,0
37830,0,174
37818,0,1
37781,0,1000
37800,0,819
37805,0,0
37770,0,920
37838,0,2
37793,0,909
37811,0,274
37825,0,25
37773,0,1002
37813,0,1
37786,0,775
37789,0,998
37827,0,1
37772,0,999
37808,0,21
37797,0,799
37771,0,889
37782,0,737
37832,0,1
37779,0,1001
37819,0,218
37791,0,998
37823,0,1
37780,0,847
37777,0,959
37790,0,998
37804,0,156
37829,0,1
37788,0,871
37769,0,817
37815,0,30
37841,0,0
37810,0,155
37835,0,139
37822,0,1
37792,0,797
37814,0,230
37807,0,1
37796,0,734
37784,0,995
37802,0,1000
37833,0,1
37837,0,60
37824,0,1
