room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
48237,198544,1500,3855,1290,306,51,1542661,93946,1094,115400,781,12.044706515398,88.489152673355
48241,63992,1500,17098,5718,1260,210,849013,80210,989,149172,758,3.0156095268063,171.58778232568
48140,49889,1500,18939,6333,1458,242,1080321,91299,994,130881,729,4.6225164377508,163.97035599557
48208,49653,1500,18277,6114,1434,239,879414,82179,1010,142938,715,7.745639333111,213.00425003122
48171,48727,1500,13313,4452,1062,177,663733,67120,999,117936,701,3.8877064237573,193.25367680588
48151,40077,1500,8466,2829,684,114,785933,53047,1003,102040,731,2.1055135435493,148.11846717332
48196,29837,1499,13392,4479,990,165,738061,67195,1028,100690,678,5.7431913363816,135.45432463217
48175,23656,1266,8746,2925,636,106,577750,41762,1012,73818,516,16.206248444763,146.04653526551
48189,22193,1232,11117,3719,786,131,595982,54385,1003,76085,560,3.1875838741519,135.73541861826
48230,20054,1240,9086,3045,738,123,620518,47807,1016,65313,538,2.5323731459036,127.20597336949
48179,19155,1101,8470,2835,600,100,532444,46470,997,65752,454,2.2027069026526,110.41602369958
48159,19086,1204,8851,2957,720,120,741187,48123,1008,75539,514,4.0548244594541,132.08158467701
48157,17809,1135,6505,2175,538,89,640669,42275,1012,67809,443,3.0996110218137,120.78672072487
48261,17773,1148,705,234,48,8,240712,6545,981,17384,431,7.1137493412171,59.22063259535
48224,17350,1143,5406,1808,342,57,544687,36492,990,66329,443,3.6943178085232,151.50963273462
48213,17169,1153,10379,3477,834,138,553251,55437,1006,75223,449,2.3029393256136,145.32357254002
48264,16708,1127,5799,1939,438,73,536905,34996,996,56876,472,3.7921402549199,102.38868985669
48144,14876,1161,7132,2385,516,86,588333,42592,1004,61064,488,3.5297056050807,106.17835990041
48186,13568,1058,4220,1413,402,67,550516,28081,999,48799,450,4.352093133611,122.27018184802
48202,13446,1038,7059,2364,486,81,535633,42993,1000,53320,393,11.154287272468,79.533770213717
48220,13413,1108,8737,2922,672,112,539290,51329,1012,67406,451,3.5758848510393,109.1838999516
48174,12938,1089,10630,3552,870,145,583321,35568,1003,61661,479,2.8373363372846,115.05900015478
48190,12126,1097,4011,1341,240,40,444179,27473,993,46209,467,3.1103211512373,83.282683705439
48198,12092,1034,4354,1454,354,59,480038,27869,997,52760,404,0.9337611104448,61.763785048424
48218,12056,1087,4346,1452,396,66,503250,25000,982,39512,407,3.7826575289657,67.932279685291
48141,11988,982,682,228,66,11,183910,4852,984,10781,300,2.2676482724295,67.187633387159
48178,11885,1055,6758,2258,636,106,536834,36212,1006,50670,411,2.0180258282539,103.80755090432
48203,11688,1023,4331,1447,336,56,474364,26481,991,46282,426,3.9379633886716,92.081872144339
48233,11424,1028,4729,1580,360,60,401272,27038,980,39629,425,5.3829854380353,78.155854723001
