room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving,click_diff
11721,216,1004,2383,588,126,21,5043214,2371,998,2481,15,6.9186290845696,24.022826018467
11685,222,1024,2437,602,132,22,4927879,2430,1016,2673,5,3.8918398890687,26.982632263191
11676,220,1002,2526,597,132,22,4603364,2774,1020,2938,12,21.179646014893,41.863045225333
11722,245,987,2524,665,144,24,5137436,2831,1008,2733,6,8.8094056903059,27.658658089891
11667,226,993,2625,612,132,22,4345414,2913,1009,3021,8,4.7951709708943,30.209554210793
11707,196,1066,2379,534,114,19,4870915,2568,1006,2973,20,3.2190038886777,28.634646389589
11677,257,1003,2840,698,150,25,5211201,3247,1014,3150,13,19.779252209227,28.045779675404
11696,224,984,2648,609,132,22,4178020,2924,1023,3035,24,1.8996857589417,30.98282145224
11668,240,1019,2701,651,144,24,4617518,3191,1018,3252,17,18.649152652791,29.988347115566
11739,215,985,2623,583,126,21,4496074,2692,1006,2967,9,8.6321655521956,29.767476489824
11680,217,986,2502,588,126,21,4051876,2735,1005,2534,15,2.9266493651612,29.792701611154
11723,196,982,2284,533,114,19,4365107,2139,1005,2477,15,23.364697784621,38.688917604401
11681,268,992,2846,728,156,26,5749914,3088,998,3246,19,5.3666851584082,30.322881685422
11670,217,992,2614,588,126,21,4759183,2634,1003,2788,11,26.931801382898,26.751823449696
11701,236,980,2627,642,138,23,4936406,2850,1007,3040,13,11.258734504757,28.120640510802
11698,218,982,2509,593,126,21,4419708,2490,993,2615,18,2.9544398410543,35.521816342201
11673,227,992,2605,615,132,22,4385773,2857,1007,2886,12,17.778147890268,28.622070241047
11690,216,985,2360,586,126,21,4901442,2268,1008,2427,14,13.550797646508,26.549715363188
11672,194,991,2466,526,114,19,3867085,2438,1016,2599,12,19.893016841178,33.803194493237
11704,225,994,2602,610,132,22,4939957,2767,1006,2848,13,2.0799997182657,40.601568794005
11661,224,1013,2618,607,132,22,4849048,2700,1027,2975,12,17.800291115624,29.846184784909
11658,220,992,2645,596,132,22,4297500,2819,1001,3077,12,13.745947746072,28.183524472705
11656,222,1005,2620,602,132,22,4662828,2698,1011,2930,15,17.737317004252,27.61595116894
11702,206,994,2496,561,120,20,4297275,2533,1019,2701,16,2.1935887636974,34.929088468871
11671,209,996,2510,567,120,21,4267022,2482,1006,2771,17,12.319723260424,26.414836690425
11675,232,998,2679,628,138,23,4681035,2869,1027,2868,14,9.8167697531439,34.315726920245
11666,211,1001,2482,570,126,21,4195445,2604,1002,2755,15,6.1332862405594,29.997724874375
11674,245,1026,2746,665,144,24,4878700,2976,1030,3243,11,10.061134051605,36.967229591755
11692,212,997,2564,576,126,21,4354068,2514,1018,2827,13,19.792030362489,27.957255686428
11691,222,997,2571,601,132,22,5308951,2762,1000,2914,17,18.697197503397,27.43586455928
11665,216,1008,2512,588,126,21,4530968,2570,1034,3034,16,9.3194181785761,26.676990617858
11641,241,1004,2720,654,144,24,4720831,3179,1025,3085,27,19.781921333276,30.036771989027
11654,194,986,2127,525,114,19,4308154,1976,1004,2316,12,3.9905090683412,28.122981595084
