room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
6059,2635,1472,21369,7118,1578,263,18446744071930278703,35910,1500,42216,142,3.684476338417,70.879587009228
6058,1873,1451,15504,5060,1122,187,18446743391471995734,25169,1500,29316,84,2.062037872456,67.050435414221
6033,1551,1477,12992,4191,930,155,18446744062077135063,22957,1500,23946,72,1.7894443046734,73.563357747782
6060,1432,1457,12126,3867,858,143,21702983,22281,1358,22652,84,1.930839995057,65.655475818576
6028,1374,1471,11663,3714,822,137,19804982,21716,1361,22402,57,9.1834703711131,58.741692730158
6067,1342,1449,11475,3626,804,134,19936110,20790,1500,21151,58,3.7879297983339,64.345478861949
6057,1325,1448,11338,3579,792,132,19739768,21110,1500,21707,62,2.4311797607872,70.647280152027
6068,1302,1472,11281,3518,780,130,22894463,19933,1392,20532,63,7.448577193939,59.843949586814
6110,1293,1479,11093,3495,774,129,18173960,21514,1305,21012,57,7.7805732877509,60.00316772393
5443,1275,1474,10977,3446,762,127,18446744060543214325,20732,1370,20352,55,2.476416670307,62.173941523668
5694,1242,1444,10701,3357,744,124,18397900,19916,1328,20260,46,2.9125057197577,61.539989273149
6017,1241,1454,10721,3354,744,124,18011852,19527,1348,20389,67,5.5389287216542,66.342301250537
6062,1216,1465,10539,3285,726,121,18369531,19542,1500,19079,51,3.3826583448011,61.116074516722
6133,1188,1335,10327,3210,708,118,18446743873762901485,17460,1284,17133,53,6.5828319880497,53.89362826362
6179,1184,1395,10321,3200,708,118,17629687,18405,1278,18706,44,3.3085115757109,49.868355151749
5732,1178,1484,10313,3184,702,117,17566278,18902,1378,18936,61,4.3296895097168,55.769765633845
6108,1156,1422,10088,3125,690,115,15654822,19123,1291,19044,32,3.33447488994,52.559478788984
6051,1155,1425,10015,3123,690,115,16639497,18963,1352,18766,43,8.6101520660978,57.608997140325
6012,1146,1473,9985,3099,684,114,18446743792958493548,17170,1401,17976,56,2.1245555020571,70.90831415504
5469,1145,1466,10035,3094,684,114,16153814,18282,1403,19789,50,2.8410838550273,69.851996464512
5847,1137,1409,9942,3073,678,113,16002181,17113,1311,17405,43,2.4125119492612,58.409150385575
6001,1112,1344,9702,3005,666,111,16453334,16958,1269,16526,58,5.7453777961493,53.505010924247
6014,1086,1376,9592,2936,648,108,16281239,16617,1298,16572,47,2.6613238341405,53.059110103029
6016,1082,1283,9525,2922,648,108,16791122,16479,1261,15697,52,7.1438370341972,50.883360039428
6013,1056,1269,9314,2854,630,105,15692250,17056,1221,15643,46,5.0331509906098,51.779241595244
6030,1056,1367,9294,2854,630,105,16257804,15788,1273,16489,44,2.4150228614359,54.597773883148
6040,1053,1317,9249,2847,630,105,15841078,16498,1275,15791,43,3.2196083471982,54.989761165172
6027,1045,1284,9243,2826,624,104,15569928,14497,1245,14886,47,4.4699232802106,53.886385284895
6023,1035,1351,9099,2798,618,103,15845700,17152,1268,15564,51,2.5944642573949,48.791692629416
5823,1028,1325,9131,2780,612,102,15164913,15970,1269,15243,49,2.4481037988454,50.039623554938
6039,1023,1276,9085,2766,612,102,14335332,15298,1212,15105,43,1.6413549826484,47.535884651382
6070,1014,1294,9016,2742,606,101,14943748,15642,1238,14612,55,7.7614580322731,49.834056973852
6043,1012,1360,8927,2734,606,101,15522550,15452,1286,14372,68,2.7896000463076,42.398486330958
6101,1008,1278,8927,2724,600,100,15064874,14992,1245,14170,54,2.1570951192093,46.19520046448
6080,1006,1265,8929,2718,600,100,15619941,15630,1230,14318,44,3.0253941207923,48.203527495428
6065,1006,1294,8985,2720,600,100,15670021,15111,1250,14228,41,5.1933107289221,53.394930879947
6049,1000,1255,8840,2701,600,100,14723207,14709,1214,14528,83,7.6272032288379,47.562502908954
6005,994,1371,8930,2687,594,99,15763688,15772,1305,15174,78,9.1356618300787,49.94175031076
6096,985,1264,8683,2663,588,98,13730494,15149,1243,14150,53,3.486813467956,55.735431920398
6098,975,1270,8626,2634,582,97,14497717,14494,1251,13627,46,3.3768549075891,66.131383081114
6050,969,1277,8621,2619,579,97,13366314,14068,1232,14466,51,2.65773525119,54.66547839968
6066,964,1247,8586,2607,576,96,13152137,14681,1203,14129,57,2.410118254006,48.135336427915
6048,958,1285,8542,2589,570,95,13125861,14415,1238,14715,56,3.5366646963371,66.008166968579
6188,942,1214,8347,2546,564,94,14750833,13250,1199,12714,41,8.091661180097,50.63568069517
6175,941,1211,8368,2544,564,94,15277170,13001,1186,12876,46,4.1691749248122,45.176889051813
6146,930,1237,8349,2514,558,93,13978665,14406,1216,12966,55,2.5528067277936,42.692522653742
6052,926,1233,8313,2504,552,92,14016368,13452,1195,13475,49,2.5209323541815,53.894260257841
6083,921,1246,8298,2488,552,92,13282458,13997,1214,13348,44,4.0451269550821,49.398341441798
6144,911,1223,8162,2463,546,91,13747606,12902,1206,13393,51,3.3214750539209,45.705630169017
6042,905,1247,8169,2445,540,90,14400790,13501,1200,12652,48,3.6561083310113,46.005335384735
6045,902,1214,8037,2439,540,90,12647599,12528,1194,11751,46,4.1343608620708,53.357302081819
6069,900,1272,8080,2432,540,90,13273563,13383,1238,12974,72,7.4538178938982,47.094831681747
6009,896,1233,8043,2424,534,89,13052722,13783,1224,12977,44,2.8895228710695,55.303778089631
6073,895,1305,8086,2420,534,89,13525912,13238,1275,12877,52,5.7348236375947,44.943002639796
6215,892,1176,7979,2411,534,89,14051982,13597,1168,12138,48,2.7094012950202,41.403758857502
6205,892,1265,8117,2410,534,89,13176875,13332,1223,13269,63,6.5666545138585,64.76219113676
5371,892,1212,8076,2410,534,89,13220968,14115,1187,12520,61,3.1339821676377,47.516954631217
6046,888,1221,8006,2402,528,88,12898709,14034,1192,13143,52,3.0315706140111,43.847384873195
6176,885,1193,8055,2392,528,88,13650165,12431,1165,12027,53,3.5672817410865,61.922360077927
6089,879,1328,7985,2376,522,87,12514719,12244,1297,12583,46,2.7462740604106,49.779182849435
6211,878,1250,7940,2376,522,87,13074325,13139,1197,12193,36,1.8942308087935,48.176776215039
6106,871,1229,7961,2353,522,87,13440464,12927,1216,11933,53,9.2897092972705,41.522311781086
6076,864,1210,7763,2334,516,86,12207508,12827,1190,11984,37,3.2137948742215,46.916975367978
6064,860,1213,7760,2325,516,86,12805389,12529,1180,12031,54,8.9754362018759,43.273072037777
6061,858,1294,7760,2321,510,85,13762960,11890,1242,11536,40,7.5153320710102,74.819551965713
6047,856,1289,7806,2316,510,85,12448845,13296,1260,12415,44,2.2218835678237,57.26374008221
6159,854,1231,7747,2309,510,85,12113534,13569,1184,11979,45,2.8145199923686,50.650945811908
6082,851,1272,7674,2300,510,85,12091611,13627,1227,12536,57,5.3307075400949,45.473934195234
6166,850,1220,7757,2296,510,85,12610900,12535,1189,11136,49,5.9604449486108,46.439495540815
6053,847,1201,7635,2291,504,84,12927894,12536,1180,11875,39,2.2015528017855,45.518820620867
6180,843,1220,7650,2280,504,84,12402488,11779,1208,11694,47,3.8799691995894,42.865386952141
6120,838,1248,7547,2267,498,83,11809142,12243,1218,12087,48,7.7298865932533,64.80097251215
6129,838,1268,7661,2268,498,83,13129791,13003,1231,11595,43,4.3382094243781,57.896395057423
6093,826,1230,7518,2234,492,82,12221221,12604,1184,11787,35,4.3320165454375,47.206909965208
6136,825,1237,7558,2231,492,82,12452253,12043,1212,11307,44,5.1602530159936,49.867981696796
6081,823,1334,7464,2223,492,82,11658606,12870,1295,12149,35,6.0983848881517,52.807254179591
6212,822,1222,7507,2222,492,82,11845583,11934,1205,11906,39,3.4748578648157,45.617763166806
6041,822,1184,7507,2223,492,82,12251921,12370,1179,11312,45,3.7372160247464,40.891205552538
5442,815,1190,7470,2204,486,81,12796265,11566,1188,11360,37,2.9026729349018,49.140226129884
6109,806,1233,7321,2181,480,80,11938238,12414,1222,10752,52,5.7280880320346,42.604332467258
6079,802,1255,7392,2166,480,80,12838521,12521,1234,11685,46,1.7916231262635,33.757131741877
6186,800,1227,7314,2160,480,80,11786552,12601,1185,10984,56,3.6491419460852,46.685215758024
6118,800,1212,7330,2160,480,80,13300174,11342,1197,10414,40,6.2089013435986,49.508430084564
6216,799,1310,7281,2160,474,79,12463609,11888,1282,11375,41,5.2980394358494,47.60423032134
6095,797,1162,7303,2155,474,79,11211452,11819,1168,10787,46,5.9434956160833,41.747204781929
6084,791,1196,7193,2136,474,79,11877428,10815,1164,10560,49,5.6680433491308,50.757637071328
