room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
48237,252131,1493,17878,5979,1452,242,2040350,209226,1094,225681,615,1.8229375685703,137.29819000881
48241,98402,1498,37049,12393,2622,437,1098535,162569,989,235800,611,5.5684464006689,215.04761926094
48171,92349,1500,32288,10800,2466,411,914569,147581,999,199369,546,3.5974004347127,160.71977947334
48140,74904,1499,38584,12906,3000,500,1331985,163505,994,195678,589,6.3723570296103,181.89249362188
48208,73932,1473,38076,12735,2928,488,1119155,153103,1010,217300,567,3.0876701914794,265.79081505675
48151,66192,1470,27415,9168,2142,357,1108599,125747,1003,169973,569,4.321950539955,191.43942113357
48196,57543,1492,32257,10788,2454,409,1003432,128221,1028,163952,530,69.443635975677,134.22555515434
48175,50628,1494,23913,7998,1668,278,906396,102103,1012,140178,551,7.1099708710212,181.62250755499
48189,39032,1492,27188,9092,2178,363,827335,107071,1003,128134,604,3.2231976351637,148.59462656177
48179,34707,1376,18574,6215,1542,257,788378,84097,997,102457,483,4.0806716725698,147.9965415055
48230,33574,1479,21124,7068,1626,271,898477,92147,1016,109521,537,3.3733492499331,204.65528217506
48224,29321,1263,11661,3903,858,143,862151,69163,990,104589,394,6.4106988374404,162.00854420295
48261,28902,1290,4189,1401,330,55,640712,38821,981,55626,346,2.1359153219564,157.54535048182
48159,28685,1285,19769,6609,1662,277,1024513,86796,1008,114823,416,11.793594476997,168.29614209389
48157,27979,1193,14858,4971,1254,209,917553,73474,1012,97587,360,1.975628891871,135.94261583549
48213,26613,1241,22861,7650,1896,316,780933,96451,1006,111451,394,4.1827671889382,191.50477548263
48264,23529,1206,16138,5397,1181,196,776907,69430,996,88960,394,2.0824740888314,148.0276442506
48144,20569,1220,17300,5787,1290,215,831426,73129,1004,83499,389,3.6753013977965,127.81120123433
48186,20138,1130,9930,3324,756,126,837770,53346,999,73857,372,35.0934879756,103.32367470967
48174,20056,1140,23051,7703,1848,308,788677,63117,1003,90133,367,3.1905541868067,139.01788845983
48220,19471,1139,18839,6303,1464,244,755527,90888,1012,97894,346,2.4686449365207,145.3602951905
48202,18991,1047,13996,4683,1008,168,741082,72270,1000,77098,307,0.94758395993146,108.78941956489
48218,18256,1126,12369,4137,1044,174,722813,50046,982,64667,333,1.8394094084845,92.505135609151
48198,18159,1085,9129,3051,639,107,735687,53114,997,80284,321,1.3217457289623,75.868252954027
48178,17917,1078,13481,4506,1218,203,769421,56886,1006,69998,304,2.5767644388616,112.81005861793
48190,17129,1115,9688,3237,611,102,715877,58818,993,73867,345,5.0996337339766,88.196293818084
48141,16962,1041,4399,1475,264,44,413488,27380,984,30177,276,2.2296648142339,98.81822030698
48233,16452,1073,13196,4416,990,165,607072,54860,980,65784,362,1.9561675640619,109.08693493126
48221,16450,1053,11445,3824,900,150,686577,52485,996,61142,269,2.8691904855535,121.61797122327
48228,15901,1034,3622,1211,294,49,529657,26545,993,36611,290,2.862687128393,90.633354966962
48236,15521,1043,11173,3740,648,108,734969,62118,1000,54887,288,27.214458445292,78.202995477743
48209,14470,980,12959,4333,900,150,696792,64583,1006,72058,284,2.3121627928812,91.456473324318
48203,14016,1043,8793,2939,660,110,679287,45228,991,65429,315,2.9643000488665,103.04238465974
48240,13405,1060,9731,3252,768,128,745119,53391,995,62208,301,2.3809522300422,110.70406884545
48155,13076,1034,9318,3117,588,98,679930,48219,996,64120,291,2.4739084196663,76.090597517796
48263,12594,1047,3018,1008,246,41,400541,18459,995,30210,312,4.4087608156145,81.741484203377
48201,12546,1057,15226,5089,1242,207,691758,46249,1010,65160,317,40.472687481468,69.130255068414
48210,11408,979,1581,530,102,17,448619,10348,975,20844,224,1.7538070571776,80.714524746185
48154,11188,1004,4630,1548,270,45,387074,27166,997,40782,275,2.6800062509111,97.848170113795
48142,11087,1016,3693,1235,282,47,391231,19673,987,36188,259,3.1785909071473,58.176627583972
48184,10279,997,5333,1785,352,58,409248,29347,994,39977,265,2.3455554541124,122.13295005619
48217,10076,986,12129,4056,1032,172,712108,58112,994,56147,291,3.4468857843806,100.89774340369
48199,9693,1051,9404,3145,696,116,633459,39729,1000,55000,286,13.960166140527,115.40375586729
48158,9506,1024,5725,1913,384,64,469145,32627,993,35899,250,3.7710835304649,87.65470202884
48247,9360,983,2098,702,180,30,470270,17069,984,25614,250,2.6105549910945,75.353112314896
48252,8299,1029,3687,1233,250,42,492240,21738,995,28238,279,1.5464625036591,83.352646645312
48242,7795,962,9229,3083,678,113,700095,49650,996,45431,245,1.9005803114726,84.076947227967
48145,7591,998,2524,847,198,33,390522,13467,977,21090,270,4.3577538231213,72.070350473037
48143,7578,1007,2460,820,120,20,319692,15578,984,31210,233,2.8231945713034,175.96366539161
48259,7496,1009,2806,938,252,42,472040,18393,983,21444,276,7.0564226959929,77.778684017835
48176,6970,1018,5585,1869,354,59,520295,30656,993,37221,252,3.0585772412869,106.87204436668
48206,6967,1023,2573,861,186,31,372960,13696,999,25967,241,3.6283862494312,82.555400531816
48200,6944,973,2442,818,186,31,434455,16039,989,26815,226,52.196932550799,96.22417736595
48243,6922,1014,3818,1276,246,41,423450,21027,983,33987,263,2.0169697814946,142.21835897147
48166,6885,976,3275,1094,222,37,382332,17587,979,28792,227,6.0378391741868,78.231259261884
48232,6414,993,4001,1337,300,50,383871,21945,998,33026,261,1.634782905504,100.28267022642
48152,6110,1021,2899,969,168,28,408851,16942,990,26264,237,5.4163588509217,87.256466203965
48212,5877,1009,1439,480,120,20,205001,7689,994,13356,266,3.6139728532561,91.662676898063
48267,5674,1121,2789,932,192,32,327934,17750,1046,26041,206,1.7877394494981,97.68268375865
48165,4982,992,598,201,66,11,239904,3719,993,9942,216,12.226243872741,69.239463085692
48245,4885,975,3450,1153,330,55,341838,18778,984,29734,215,2.0326910223096,92.455873425069
48168,4407,994,2789,933,168,28,460130,13038,983,25518,242,3.8539466959581,101.88519249417
48229,4355,1005,2441,816,174,29,420838,15000,987,25443,221,2.9133272034724,88.206208263
48146,4252,972,1926,644,126,21,323785,9412,979,20182,225,0.55718721537988,68.31831916177
48150,4176,984,2229,744,156,26,317650,11279,983,22299,237,4.6612056694922,91.198261967238
48205,3869,1004,1693,567,108,17,313398,10209,995,19877,206,3.4364588832651,76.430580003299
48167,3764,988,1970,660,126,21,395932,11000,984,18979,221,2.1822664835821,92.351112578933
48265,3688,975,536,180,54,9,204813,3366,994,10014,239,1.6991975857712,78.977277654939
48244,3476,988,2888,966,210,35,391338,17236,986,27709,218,31.030275639679,106.19255180833
48194,3327,986,858,287,84,14,231993,4509,984,12229,259,0.95271245608359,55.853412099144
48256,3001,978,503,168,12,2,220977,2757,993,9256,217,1.4681495913786,77.409107778628
48163,2733,980,2341,780,186,31,383314,12422,988,21106,216,29.566878148362,83.479579845822
48156,2659,1002,664,222,58,10,168142,4187,993,9850,271,1.4248635549685,64.771282313897
