room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
48625,100000000,1330,466233,155910,36594,6099,52137938,9400663,1141,14006115,52,1.8709003068996,75.296239171587
48581,100000000,1081,55259,18486,4119,680,72471483,3076096,1500,11221306,25,7.3181120929387,35.320085632052
48583,100000000,1170,92841,31050,7288,1211,77447045,3658681,1500,12412256,38,1.1054961307083,44.497631202925
48293,100000000,1238,408592,136650,31656,5275,92752762,27061771,1500,22269785,98,4.5300559917471,50.690486119799
48273,100000000,1251,339966,113703,26544,4423,70480930,20042735,1500,21331318,39,0.66612730262468,50.890693784928
48595,100000000,1238,157174,52572,12381,2060,32808671,5058045,1500,14156772,51,5.2766230118839,38.628645273877
48275,100000000,1146,208679,69786,16092,2682,110298086,23847294,1500,20443739,23,1.2002194374618,45.92335165207
48294,100000000,1255,350540,117240,27426,4571,96819969,23001731,1429,21143242,67,11.554680071491,43.459631733174
48520,100000000,1303,96942,32427,7371,1226,47371322,5208294,1500,14033718,12,3.0111880367292,51.427854548527
48274,93501478,1500,642026,214727,49254,8209,128485842,22862324,1500,24731714,555,5.6394458503508,132.40302323403
48272,66300413,1500,742274,248255,57306,9551,145529693,23143779,1500,19216987,362,2.5267159413898,77.322843289742
48297,65315624,1500,802538,268416,62430,10405,105907782,22642838,1152,16452022,363,1.3858172523611,65.154055941071
48930,62001560,1500,604941,202311,48360,8060,37104858,9039515,1016,11450309,374,3.0228979883941,617.93608786325
48403,53960719,1496,505082,168927,39816,6635,103038701,17282942,1163,13513256,361,9.9925725192685,73.912790654416
48271,52702550,1489,577310,193053,45222,7537,114988032,21220228,1499,15896174,301,7.9752290810085,68.056818845728
48295,49115679,1488,521732,174480,41652,6941,75612106,14853316,1311,12176201,254,4.2963026776342,53.400554830175
48404,45286109,1497,626759,209613,49518,8252,87939983,12122169,1111,9962901,233,5.6846458170799,66.470893736925
48296,41181435,1492,673197,225153,52368,8728,108437081,15251348,1170,11479646,223,5.4103690575609,69.32176479065
48915,31553899,1451,880134,294384,70320,11719,45715665,11465862,1224,20462859,483,2.1867779704579,412.4819354943
49050,31540799,1500,381669,127644,31140,5189,34039767,6432674,1472,8154131,705,6.2667249076906,88.462791003416
48376,22653299,1500,395464,132252,33504,5583,47753850,4021608,1050,4553348,100,4.1388508103945,196.06146040526
48380,14302287,1494,340710,113955,27990,4665,43557092,2583600,1019,2713303,85,5.6840401513292,434.66813284823
48237,10081063,1487,651144,217777,55578,9263,34064231,3609797,1094,3432826,99,3.377292059435,625.893085898
48669,9964799,1433,110530,36942,8313,1385,53168048,1180538,984,2180049,137,4.263563779315,316.32422989226
48219,9902299,1141,398651,133320,30473,5078,53903138,4406051,921,3747812,80,4.1141791370819,321.24843589528
48278,9013225,1293,203678,68129,16032,2672,21621828,1834456,991,1925008,52,1.942751758602,355.98476988546
48173,3997025,1496,364076,121766,31890,5315,30888357,1898482,995,1346343,66,3.4358992976255,333.41757440998
48140,3015499,1498,636719,212961,55998,9332,29035185,1835531,994,1382641,78,2.9557148127381,370.52988329094
48261,2545756,1500,195110,65255,16872,2812,21316825,686665,981,744630,45,3.8077860493244,230.10827009513
48141,2066478,1498,329178,110093,28104,4684,24913501,1298481,984,828355,59,1.5308436333125,319.9385313344
48175,1968529,1494,501463,167706,43026,7170,24187183,1517968,1012,1152714,72,2.9078668585647,452.11911311373
48241,1882639,1495,707332,236559,60684,10114,28367915,1872483,989,1329733,80,1.4609048578335,432.42534392804
48171,1693489,1500,592683,198231,52596,8765,26579995,1664113,999,1170112,73,3.2326844538277,480.46233037518
48151,1449191,1500,489334,163659,43980,7330,23361080,1489325,1003,1108462,77,5.539125821015,608.51062905999
48197,1427999,1222,130525,43656,10602,1766,18301708,426136,982,533409,71,4.218706297422,107.85666654846
48190,1332249,1495,196758,65793,16498,2749,17994058,722271,993,668144,53,7.1702242096021,318.86499113667
48213,1276238,1492,557312,186416,48762,8127,28893567,1648029,1006,981213,81,15.879303083196,504.53371755152
48179,1250297,1498,492205,164622,44628,7438,25005489,1373076,997,878382,54,1.7670001317794,461.13820514916
48178,1240089,1498,285724,95556,24912,4151,22571491,891781,1006,681036,57,6.4154388619334,428.45222392767
48174,1225689,1500,321515,107523,28842,4806,22354656,687193,1003,641158,59,1.1138886446773,279.68091265613
48159,1211088,1498,355774,118986,31830,5305,27424253,1000863,1008,766467,61,3.3392868426109,219.46667067154
48221,1188489,1491,302433,101145,26010,4334,25845876,926777,996,630442,61,9.6341912076983,397.05669245
48208,1183589,1498,575230,192417,51510,8584,29613440,1560788,1010,1087707,77,4.2296307893611,288.45560102328
48143,1089756,1301,114879,38432,9318,1553,15706176,409926,984,542835,51,6.233831011335,228.89768334083
48264,974049,1497,484267,161970,41616,6935,20309401,1044164,996,874974,83,3.510178075704,299.08246543218
48230,891549,1500,494503,165375,42594,7098,21239141,978151,1016,824193,97,3.7614320411624,478.54395113013
48220,855699,1496,224444,75069,19296,3215,20016830,615891,1012,551912,75,3.7196243354957,159.93489215248
48224,815776,1496,297775,99603,25260,4210,20685208,851466,990,682961,71,2.332976946937,360.48169018182
49245,798979,1052,5241,1752,405,67,3070433,91967,1000,910214,116,5.115126109909,66.009996627804
48189,777498,1498,634073,212055,54474,9079,21853956,1386199,1003,959102,76,0.66800075020373,318.17905153188
48157,774679,1499,464531,155343,40482,6746,19678845,1089938,1012,787564,74,1.0310110222947,344.84906263275
48839,768890,1029,9980,3303,810,135,13304282,124467,984,341877,51,4.6103003233676,70.607369155426
48202,766434,1330,231139,77317,19002,3167,19014480,715200,1000,528206,71,7.9012696319399,443.66294312077
48379,694269,1237,67620,22599,5789,964,17821223,274545,1019,206123,35,8.6417884456437,164.40850011883
48501,676466,1024,10371,3387,762,127,8261739,137491,985,206570,16,1.1502490945954,71.33127934479
48450,640305,1016,24453,8153,2022,337,11673238,139108,974,191860,26,5.7725678787912,268.33595462358
48196,607881,1481,410282,137212,36072,6012,19252313,835000,1028,750429,59,3.4795100442779,226.43671117295
48144,603449,1498,384691,128664,34188,5697,22427161,1069913,1004,653147,72,0.8596160671199,264.8915053233
48265,602062,1082,47302,15821,4074,679,11357040,200661,994,299491,37,1.0028561991341,65.701783724537
48231,562568,1236,80021,26756,6606,1101,14427081,279285,980,396770,41,1.8391656822555,140.87922000947
48269,555696,1090,100764,33692,8472,1412,13338795,278932,944,309747,37,1.5900150245952,126.46994576969
