room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
47020,1035169,1500,14719,4923,1327,221,13669294,783929,1500,538678,1065,8.75633193822,63.046584490171
47051,844853,1500,20826,6960,1824,304,11080159,832681,1500,556225,996,2.5176164447087,54.331275053622
47090,841620,1500,10810,3620,912,152,9648691,588341,1499,415586,967,9.7640851358922,56.907803924328
47030,703545,1500,40613,13586,3204,534,9888037,921495,1499,614512,927,16.45951334557,85.128867354661
47000,509140,1500,24481,8179,1938,323,12428030,892693,1500,535855,748,1.8736365440782,70.389074906488
47075,472599,1500,8173,2733,630,104,6680152,426959,1500,400014,1066,16.255904541078,84.314154875265
47038,468429,1500,18023,6027,1464,243,10429068,682963,1500,443216,824,3.0838078603,68.744247987967
47100,329264,1500,8674,2902,624,104,4730045,319622,1302,371415,973,11.777910885969,108.49763951362
47092,279398,1500,8052,2695,684,114,6003800,345488,1500,372776,890,7.1097604043022,51.950452751602
47010,253099,1500,60535,20241,4734,788,3116471,261401,1045,284781,366,4.0281739443283,171.82509939944
47050,238839,1500,26157,8745,2076,345,3775569,218725,996,291194,463,3.3791871517158,202.24323444503
47039,206025,1500,15815,5291,1374,229,7726824,510192,1500,394075,696,14.23539534289,71.333382547531
47091,178498,1499,9253,3093,690,115,7261711,338923,1499,302119,766,7.4330358013373,60.553785889289
47093,170903,1500,15493,5177,1320,220,6338030,445838,1427,355967,849,7.0249113995434,42.076789952888
46902,167639,1500,97747,32688,7998,1332,2978420,306919,1029,352122,313,3.9169632916663,186.62090405054
46920,140144,1500,91916,30745,7038,1173,2371539,299951,1006,350413,273,46.375659555708,363.53175576269
46919,120791,1500,55825,18671,4626,771,3176336,217292,1003,279475,269,4.2785476666828,313.92196112739
47074,116089,1491,18148,6069,1368,227,3372051,198952,1499,243352,370,4.777377731826,181.93129985478
47073,115985,1497,10315,3449,720,120,2688764,116092,1500,188266,365,3.4147646143963,167.50906351075
46911,114088,1499,41004,13717,3102,517,2722363,181827,1003,231081,239,6.7426978182562,233.07508446245
47180,112344,1500,2236,747,126,21,2330797,113269,1037,202006,1022,22.524615569129,55.747318686463
46960,102519,1500,24533,8205,2004,333,2290049,132065,984,161229,306,4.2188002203671,151.24276106186
46917,99309,1500,45183,15114,3454,575,2698483,154280,1025,184005,262,17.005905763026,147.33786879737
46935,93247,1500,92207,30833,7368,1228,1702557,274353,1001,262350,233,2.6805928826204,331.99903413685
46936,82099,1500,76227,25491,6130,1022,1788025,214102,1008,236858,228,3.4727913144665,262.49305212856
46942,81942,1500,61536,20578,4680,780,1933484,191295,997,205783,192,3.3894282151556,285.52374187087
46928,77730,1499,52105,17420,4038,673,2051584,169138,1004,208119,225,1.3091946189834,178.99305861527
46933,77324,1500,85382,28560,7032,1172,2150718,200911,1002,248463,241,2.0266964802592,278.95168968979
47040,59895,723,3573,1195,228,38,1540670,35528,856,75816,137,2.4296512520474,48.910539577144
47200,53946,1428,88,30,6,1,344505,7116,1139,40640,826,10.332406341882,47.754905085631
46934,50096,1500,54095,18096,4422,737,1828285,156839,1000,166954,221,4.0218055339603,257.48633524842
46929,42557,1500,49227,16464,3792,632,1437250,118895,996,151454,204,13.02758396093,228.76768939074
46913,41918,1374,16291,5449,1068,178,2310295,76438,994,89953,285,9.3171006938468,129.44216490388
46950,40292,1500,18863,6314,1428,238,1737856,99899,1019,131179,176,3.5095661546632,193.46010663264
46930,37292,1419,35144,11746,2604,434,1615890,106790,1012,137259,196,6.4243092566211,174.565045635
46947,35746,1218,24884,8324,2070,345,1542127,80630,992,107235,167,3.312829895929,145.20351983374
46951,35121,1257,33645,11251,2748,458,1507328,83268,994,132853,164,2.2013289651183,178.6744609798
46944,31771,1277,19600,6552,1524,254,1606002,93238,1002,119149,182,3.5371314982305,138.70911812886
46923,29962,1499,28990,9692,2454,409,1701959,89426,1005,120202,187,2.4700604006629,226.1545871426
46939,29009,1240,11880,3975,907,151,1190727,65124,988,93096,122,3.0043822742256,143.36195282265
46926,28529,1177,30910,10338,2520,419,1692805,96760,990,108297,163,3.63257132864,104.42507381719
46952,27422,1215,16728,5594,1302,217,1452686,68513,987,85960,149,5.0564568348082,191.22520074136
46940,27063,1225,26034,8710,1848,308,1431173,78216,1002,105373,149,2.8722074591948,138.86071587479
46922,24861,1299,17606,5889,1374,229,1525361,75917,1012,93168,139,1.5144996788681,120.39367976722
46931,23919,1251,26336,8808,2052,341,1609527,84187,1009,118488,147,3.5789144339882,113.06869077907
46906,22019,1198,21326,7131,1698,282,1777146,73668,997,104395,154,3.4689213783902,113.55069982967
46905,21567,1274,23604,7893,1866,311,1382187,68961,1000,100070,147,2.8154715526561,162.18224087636
46903,21366,1283,27910,9339,2130,355,1436975,86592,1002,104589,168,3.0723784330355,196.47571540583
46909,21139,1326,15271,5112,1324,221,1518112,59770,998,89457,146,4.8145343329769,214.9031440253
46949,21034,1174,21897,7325,1650,275,1543901,67296,993,93242,142,4.6509060122604,112.01021906084
46976,20923,1088,4044,1352,366,61,1187025,20893,972,38825,124,4.8338431062524,53.12766153826
46914,19676,1156,23458,7848,1848,308,1535775,96429,979,113984,154,1.4529012367557,190.76085427929
46925,18729,1136,12365,4134,815,136,1446582,48421,1018,83849,161,13.682631135945,87.848257905865
46953,18587,1209,22473,7519,1752,292,1484724,72889,1002,90559,143,2.0964522238214,119.66112193907
46932,18568,1037,20421,6833,1602,267,1382500,77199,1000,87980,134,5.8358869112909,128.77065761116
46937,18382,1145,14639,4893,1008,168,1587097,50723,997,75782,134,5.814987454961,120.80861258091
46916,17267,1147,17756,5938,1404,234,1158633,65722,989,100783,145,2.2410594317562,148.47370548479
46977,15656,1035,7503,2508,612,102,976321,37321,980,53067,105,2.7219285730248,97.347280331415
46962,15274,1128,10637,3557,834,139,1030623,46808,1005,62491,122,2.2545080182106,85.159543774418
46915,14775,1150,11484,3840,918,153,1182618,48458,990,64116,130,4.5222770356194,110.07151878576
46986,14644,1064,5948,1991,396,66,1192086,32059,981,48188,100,3.7379042261046,97.385150516785
