room,level,num_players
37559,908,1500
37558,898,1500
37651,717,1500
37584,630,1500
37561,603,1500
37569,547,1500
37554,542,1500
37645,536,1500
37560,512,1500
37556,512,1500
37552,479,1500
37578,473,1500
37567,459,1500
37555,448,1471
37562,437,1500
37557,429,1300
37581,426,1500
37671,426,1500
37586,419,1319
37572,418,1363
37574,412,1426
37568,410,1311
37583,407,1276
37573,404,1239
37580,402,1306
37601,398,1132
37600,398,1185
37553,388,1406
37575,386,1365
37565,381,1262
37587,381,1251
37579,379,1168
37582,373,1208
37621,369,1117
37563,369,1371
37576,365,1287
37603,358,1149
37585,352,1202
37602,344,1128
37593,339,1147
37566,330,1187
37564,330,1066
37613,323,1109
37611,321,1071
37608,320,1116
37607,318,1074
37597,309,1143
37589,309,1173
37606,304,1122
37609,303,1109
37599,301,1094
37571,297,1070
37623,296,1089
37646,295,1092
37588,292,1111
37570,290,1090
37592,289,1043
37639,284,1068
37590,283,1065
37595,280,1048
37596,280,1095
37610,279,1084
37594,277,1067
37631,275,1066
37618,275,1046
37605,273,1099
37617,271,1094
37616,270,1048
37622,270,1116
37604,268,1068
37615,267,1134
37598,265,1118
37614,260,1121
37619,259,1091
37620,259,1122
37577,259,1102
37657,252,1032
37625,248,1118
37637,243,1038
37648,243,1039
37624,241,1050
37681,241,1053
37612,241,1064
37658,239,1043
37655,236,1040
37647,235,1055
37649,234,1065
37636,233,1046
37638,232,1071
37634,230,1040
37652,229,1044
37591,226,1035
37654,225,1060
37627,224,1131
37632,220,1053
37644,220,1035
37633,220,1037
37630,219,1044
37650,218,1016
37667,218,1024
37656,210,1051
37687,210,1080
37626,210,1045
37629,209,1044
37643,209,1034
37693,209,1041
37641,209,1052
37690,206,1040
37642,205,1043
37665,201,1053
37635,199,1028
37661,198,1031
37659,197,1042
37673,196,1027
37706,195,1038
37685,194,1036
37683,194,1032
37653,194,1055
37672,193,1011
37640,192,1024
37695,191,1066
37670,190,1032
37694,189,1008
37628,189,1172
37663,188,1033
37686,186,1015
37684,184,1021
37688,184,1044
37692,184,1022
37668,183,1042
37707,182,1143
37678,179,1024
37679,175,1024
37660,174,1022
37675,172,1055
37700,172,1031
37691,172,1065
37696,172,1020
37682,168,1038
37728,166,1017
37664,166,1022
37666,166,1041
37697,166,1006
37712,165,1034
37674,164,1041
37705,162,1025
37699,162,1021
37777,162,1500
37669,162,1026
37676,161,1023
37723,159,1030
37717,159,1025
37731,158,1038
37703,158,1010
37704,157,1031
37701,157,998
37721,156,1028
37726,156,1032
37677,156,1035
37662,156,1023
37680,154,1043
37714,154,1001
37708,153,1021
37719,152,1013
37702,149,1041
37689,146,1023
37722,144,1012
37725,144,1028
37713,144,1020
37709,143,1016
37698,142,1020
37718,142,1006
37729,141,1033
37727,139,1024
37730,139,1015
37716,138,1024
37711,136,1031
37724,134,1006
37738,133,1014
37742,132,1024
37739,131,1008
37749,131,1013
37753,131,1015
37759,129,1022
37735,129,1011
37710,128,1010
37754,127,1008
37715,126,1012
37755,125,1044
37747,123,1029
37741,123,1025
37763,123,1018
37748,122,1009
37745,122,1024
37720,121,1025
37736,120,1015
37733,120,1010
37766,119,1026
37737,118,1019
37765,118,1020
37758,117,1009
37762,117,1010
37761,116,1018
37732,116,1002
37740,115,1004
37764,115,1018
37767,114,1018
37757,114,1004
37756,112,1012
37743,111,1026
37752,110,1024
37746,109,1008
37744,108,1019
37734,107,1020
37750,107,1009
37760,106,1026
37751,104,1016
37794,101,1012
37783,99,993
