room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
47321,42214699,1500,64781,21663,5182,864,34846921,1106303,1499,5866611,1059,34.82748361723,34.615227787798
47075,22744799,1500,85430,28566,7314,1218,38179457,3620795,1500,3440072,703,0.93457009498521,57.60444179271
47090,19011371,1500,81207,27164,7104,1184,50171025,3728333,1499,2900304,662,5.4750094569058,50.060459273553
47020,14754039,1500,85826,28707,7524,1253,49884459,4426774,1500,2655888,708,1.7491116006199,48.814426442494
47038,13976809,1500,111972,37446,9750,1625,45618747,3536028,1500,2622552,603,1.4917636474842,47.089529471077
47365,12697358,1500,133167,44528,11040,1840,17669983,1763809,1083,2587800,741,3.0312905489035,61.399787451438
47051,10972869,1500,130925,43788,11550,1924,54111358,4029491,1500,2394225,630,3.5753627438634,51.809910223193
47100,10681299,1500,103110,34485,8880,1479,39140640,2921489,1302,2171704,597,4.3517314908428,75.68130391169
47030,10673999,1500,168728,56436,14196,2365,45407198,3691660,1499,2943010,607,3.1768459390119,52.660836475636
47180,10168541,1500,96080,32133,8496,1416,34802958,2748893,1037,1902240,529,2.5743767552333,51.341555312546
47000,9324788,1500,143520,47992,12234,2039,33315825,2711620,1500,2174490,378,2.2669958735587,68.366952161192
47039,5845799,1499,85816,28704,7590,1264,34316028,2104472,1500,1437898,404,2.1708228077509,31.359255936874
47092,5301539,1500,88569,29622,7662,1276,32965896,2346562,1500,1419458,522,2.1304753320865,49.939310349753
47091,4702799,1499,107674,36006,9852,1641,38112770,2126346,1499,1427649,430,3.5362830986961,55.50946569194
47213,4531969,1499,92593,30978,7926,1320,27460655,1851475,1113,1333958,473,13.347592306391,49.460404348356
47200,3305870,1500,93585,31289,8046,1341,21489864,1365209,1139,1006830,350,1.259154205905,46.79179687042
47093,3294159,1500,180487,60351,16014,2668,32081236,3939013,1427,1772093,441,2.8919201558384,56.846191400696
47050,3040299,1500,115149,38499,9952,1658,17545452,739954,996,866083,223,2.6163907121239,170.03748606315
