room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
49705,100000000,1304,343512,114903,27240,4540,50301482,5343246,1500,16502002,102,4.1050581137859,47.506235178421
49666,100000000,1271,179747,60111,14058,2343,42425862,3230853,1500,14167611,28,3.608064937398,42.147120252188
49659,100000000,1401,69937,23385,5232,871,36006280,2194764,1500,13534226,24,1.6347807994363,44.175693246168
49645,100000000,1242,265670,88860,21226,3537,42730476,4039824,1500,17497546,23,6.1053973476307,42.709099737857
49514,100000000,1389,120420,40266,10530,1755,136193347,4329016,1500,15511454,104,13.943297773313,45.228541503965
49492,100000000,1284,168838,56478,14202,2367,85816702,5403465,1215,16604988,40,2.8190156057804,42.893698279503
49481,100000000,1334,175899,58824,15414,2569,139260291,7225618,1500,18752584,184,2.6708835700215,47.988712575043
49470,100000000,1406,818461,273753,68544,11424,59019843,9942669,1201,17148343,116,2.262498656268,49.996781522972
49531,93791810,1500,129972,43469,11226,1871,133076876,4313313,1114,14377867,384,0.84946388613766,57.056331937902
49372,82818719,1500,416030,139137,36804,6133,149722923,6939189,1500,15384255,454,4.4344486085984,90.745420476103
49556,78335765,1500,194711,65120,16926,2821,118321773,3908919,1141,11988513,339,0.95412699476144,52.633481468581
49992,65240319,1500,485810,162501,39432,6571,85481295,7771599,1280,12338899,661,4.8101238581101,61.241384983664
49373,48220505,1500,346752,115963,30114,5019,139426932,5275121,1169,10327773,349,2.8578994391762,72.221895191781
49500,46801820,1500,297432,99464,26166,4361,154456780,3409010,1500,8296909,275,1.7707420896616,54.043919353497
49678,41298999,1500,313457,104829,27300,4550,95338952,3044556,1052,6921500,235,2.3810933130164,51.203265297117
49777,35664099,1500,356606,119253,30456,5075,54358364,3061374,1072,6213254,214,9.9950786162708,63.571905184169
50137,35556829,1500,673470,225237,54510,9084,54060623,9500781,1140,10652299,607,6.562367749197,105.32331351273
49573,29920810,1499,141748,47419,12156,2026,60640674,1366973,1247,4412211,106,3.4310400189376,54.024844052736
49589,29617598,1500,243205,81333,21246,3541,53815501,1753385,1146,4902957,128,1.9908417832342,50.208257383928
50110,24614788,1500,482443,161346,38556,6426,45668491,7714122,1082,8897046,784,3.0062508367629,210.62798626474
49617,15242891,1500,99867,33390,8214,1369,36468709,795652,1071,2264842,71,2.8655860110419,47.378810541235
49343,3993637,1500,326684,109249,27222,4537,18825126,820868,995,1132469,72,2.4663687451996,588.60448472279
49394,3477269,1500,292836,97935,26610,4434,21275358,832657,1002,1097144,50,6.2792238562217,611.20487213182
49438,3429169,1500,82318,27519,6957,1159,15856077,335936,1003,610918,55,1.8107692285818,252.79035144098
49530,2862998,1499,109987,36782,9222,1537,20702218,427730,987,516372,54,3.1206789067538,282.39883430322
49327,2260060,1500,577569,193187,51774,8629,23530696,1263974,1037,1462320,75,1.6657356336884,627.55556312445
49385,2026545,1225,33127,11072,3012,502,11672330,119946,986,365906,51,1.7931095050617,182.07096666538
49367,1977943,1500,378088,126460,33990,5665,17220941,772191,1009,922751,42,4.3836402087347,382.05849116184
49455,1670693,1500,151163,50549,13248,2208,14609093,432792,993,567250,56,2.2432963715916,360.67299053877
