room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
43089,179429,936,408048,136455,30612,5101,82071535,521494,1500,1685884,421,3.8034997994973,52.835194023029
43166,160929,1330,418906,140112,31446,5240,71159343,609327,1500,1801816,792,6.8968238375928,67.654596684732
43138,127481,1208,358314,119829,26976,4496,80490798,317119,1500,1288790,505,4.2164591420988,69.474908137421
43175,104999,1305,378247,126522,28482,4746,68977993,381069,1500,1321624,567,5.1870259833161,117.21113871294
43213,89499,1327,350848,117342,26208,4367,59621095,358064,1500,1131139,530,3.4157379689031,79.937838222951
43189,84861,1313,318469,106503,24114,4019,64518960,233217,1500,916061,421,5.1127438809065,79.412765844794
43248,63960,1348,305030,102018,22860,3810,50791659,284710,1500,731182,387,8.2067302630974,81.647780075115
43742,57388,1500,40174,13437,3084,514,11679926,125748,1500,190581,1231,8.9071663037152,74.550736294484
43294,48389,1414,230273,77001,17388,2897,46473333,160833,1124,453761,318,4.230090025585,106.95880988244
43095,37639,1415,193205,64611,15108,2517,24807839,158850,985,263799,115,5.1613570131049,83.00804259716
43475,34926,1056,116604,39006,9360,1560,20450373,128517,1014,155580,102,4.6631369797743,66.915684702771
43752,30664,1500,36694,12269,2856,476,5497673,162164,1499,133013,1012,7.0815118524971,65.957821915208
43102,28249,1484,196628,65763,14904,2483,34176175,137743,1117,296864,171,8.0811530561768,125.19490438143
43495,24499,1388,142483,47649,10818,1802,24784268,110280,1069,218803,240,17.98779682359,188.22022416409
43178,19209,1477,134220,44889,10206,1700,23473130,87390,1008,144080,160,3.4955176774998,194.89197607711
42996,15839,1494,116408,38922,8814,1468,17964601,56589,1060,142548,103,15.284255829559,205.64481468513
42884,14639,1486,107590,35976,8172,1361,17746642,69894,1255,119379,87,4.7857813333003,183.55731150438
42917,14079,1492,101296,33870,7710,1284,16542609,57167,1027,117598,81,11.911868647982,157.63569805441
42883,13979,1487,100603,33639,7632,1271,21426696,63081,1500,113891,105,4.0782052474305,163.15950743135
