room,level,num_players
37559,710,1500
37558,710,1500
37651,509,1500
37584,489,1500
37561,469,1500
37554,419,1500
37569,418,1500
37645,390,1500
37556,381,1500
37560,373,1500
37552,351,1500
37578,340,1363
37567,339,1412
37555,337,1223
37562,335,1382
37581,330,1405
37557,325,1200
37586,323,1247
37572,319,1280
37568,317,1243
37583,313,1191
37573,312,1186
37600,310,1147
37574,308,1292
37580,307,1226
37565,301,1206
37575,299,1308
37587,297,1209
37553,295,1310
37601,292,1094
37563,290,1326
37579,289,1135
37576,288,1236
37582,287,1174
37621,283,1078
37603,281,1110
37671,279,1500
37585,273,1157
37602,270,1101
37593,255,1096
37564,252,1040
37611,249,1041
37566,249,1124
37613,243,1070
37608,240,1081
37609,239,1080
37606,239,1099
37607,234,1063
37597,234,1101
37588,231,1077
37599,229,1057
37589,229,1143
37623,229,1066
37571,226,1047
37592,222,1020
37610,220,1070
37590,219,1037
37570,218,1064
37646,214,1055
37596,213,1067
37605,211,1062
37616,210,1033
37595,210,1035
37594,209,1038
37618,209,1030
37631,209,1056
37639,209,1047
37598,207,1093
37622,207,1067
37604,203,1044
37617,202,1076
37615,199,1115
37614,199,1101
37577,198,1075
37620,196,1096
37619,193,1065
37657,189,1019
37591,187,1018
37612,186,1039
37625,186,1098
37624,183,1028
37649,183,1052
37655,182,1030
37637,179,1025
37636,177,1023
37648,176,1010
37632,174,1033
37638,173,1039
37658,173,1029
37681,172,1017
37647,171,1043
37644,170,1026
37634,170,1024
37652,169,1018
37630,169,1034
37627,166,1093
37633,165,1030
37650,165,1006
37654,163,1048
37629,161,1025
37626,160,1023
37687,160,1053
37641,160,1036
37656,157,1030
37653,155,1038
37640,153,1021
37643,153,1024
37659,153,1028
37667,153,1001
37642,153,1034
37635,147,1016
37690,144,1029
37665,143,1025
37628,142,1156
37693,141,1025
37685,140,1019
37673,139,1024
37683,139,1024
37670,139,1023
37661,139,1010
37688,137,1022
37663,137,1019
37672,136,1006
37691,134,1042
37695,133,1050
37692,132,997
37686,131,1007
37678,130,1015
37684,130,1006
37694,130,993
37668,130,1027
37660,125,1008
37679,125,1005
37682,124,1027
37676,123,1014
37675,122,1036
37666,122,1030
37706,121,1015
37680,121,1021
37674,120,1023
37677,119,1022
37664,119,1003
37669,119,1014
37723,118,1024
37700,118,1017
37707,116,1119
37662,115,1004
37705,112,1007
37689,110,1005
37696,110,1007
37702,109,1034
37704,109,1015
37712,108,1015
37731,106,1015
37717,106,1010
37697,106,994
37719,106,1004
37701,106,1001
37722,106,997
37703,104,1004
37728,103,1001
37709,103,1003
37714,102,992
37726,101,1028
37699,101,1000
37721,101,1016
37718,99,998
37727,98,1012
37716,97,1015
37713,96,1017
37708,95,1009
37729,95,1021
37711,95,1022
37730,95,1004
37725,94,1019
37724,93,995
37698,93,1000
37715,88,999
37720,85,1015
37710,84,996
37759,77,1019
37739,77,998
37738,70,1005
37755,70,1020
37753,70,999
37763,70,1001
37747,70,1015
37742,70,1013
37748,70,1001
37765,69,1009
37732,69,991
37758,69,1003
37749,69,1005
37754,69,1007
37736,69,1013
37740,68,1000
37766,67,1028
37745,67,1012
37737,66,1011
37752,64,1014
37735,63,1001
37741,63,1000
37762,62,1002
37733,62,1012
37764,61,1000
37757,60,998
37743,60,1008
37767,59,1005
37734,59,1002
37756,58,998
37761,57,1008
37750,55,1005
37746,54,995
37760,54,1021
37751,53,999
37744,53,1005
37795,39,1006
37775,35,997
37783,31,994
37778,30,1010
37794,29,1001
37774,28,998
37776,27,1001
37768,24,992
37799,24,1007
37790,23,988
37773,22,1007
37789,21,998
37801,21,1013
37772,21,992
37777,21,1174
37798,20,991
37779,20,992
37803,20,993
37784,19,989
37802,19,981
37791,19,999
37781,19,997
37793,16,996
37788,14,994
37771,14,1005
37785,12,999
37770,12,1009
37800,11,1002
37780,10,991
37769,9,990
37792,9,1003
37797,9,992
37786,9,990
37787,8,1000
37796,8,993
37782,7,991
37844,0,1
37842,0,1
37833,0,374
37823,0,358
37825,0,625
37841,0,0
37811,0,859
37839,0,549
37830,0,774
37837,0,600
37836,0,389
37835,0,726
37810,0,730
37826,0,688
37814,0,808
37827,0,610
37832,0,267
37843,0,0
37829,0,477
37824,0,457
37817,0,612
37818,0,281
37816,0,413
37807,0,463
37812,0,770
37828,0,303
37815,0,644
37805,0,385
37813,0,544
37809,0,602
37822,0,325
37806,0,449
37819,0,773
37840,0,1
37831,0,909
37820,0,580
37821,0,456
37804,0,734
37808,0,625
37834,0,619
37838,0,564
