room,level,num_players
37558,231,1500
37559,221,1500
37561,125,1500
37584,124,1500
37554,115,1193
37569,114,1212
37556,113,1180
37581,112,1129
37552,111,1170
37560,111,1103
37578,109,1150
37575,109,1139
37573,109,1054
37565,108,1109
37557,108,1085
37553,107,1132
37583,106,1078
37572,106,1128
37568,106,1082
37574,105,1087
37586,105,1107
37567,104,1187
37587,104,1093
37562,102,1163
37580,102,1112
37555,101,1067
37563,98,1180
37582,96,1075
37579,95,1058
37576,94,1134
37585,92,1055
37600,84,1056
37602,81,1045
37601,78,1023
37613,73,1009
37607,72,1015
37603,70,1034
37606,69,1040
37593,68,1042
37621,68,1012
37588,68,1003
37609,66,1022
37598,66,1036
37596,65,1014
37594,65,1013
37611,64,1002
37597,63,1039
37589,63,1057
37595,63,1004
37590,62,1012
37610,62,1010
37605,61,987
37592,61,996
37570,61,1007
37614,61,1042
37564,60,1005
37623,60,1015
37591,60,1002
37599,60,1004
37615,59,1050
37566,59,1039
37617,59,1019
37608,59,1025
37618,58,997
37622,58,1010
37571,58,1003
37620,57,1015
37619,57,1007
37612,56,998
37604,55,1004
37616,54,997
37577,52,1018
37631,37,1008
37639,31,1015
37632,28,994
37646,27,999
37655,27,986
37633,27,1000
37637,26,990
37650,26,996
37630,25,1006
37654,25,991
37645,25,1500
37629,25,996
37625,24,1001
37647,24,1007
37658,23,983
37649,23,990
37641,23,1004
37628,22,1128
37644,22,986
37659,21,993
37638,21,1001
37634,21,999
37640,21,992
37651,20,1500
37657,20,995
37636,20,988
37626,20,999
37624,20,992
37652,19,995
37627,19,998
37635,19,990
37653,19,996
37656,18,989
37642,17,997
37643,17,997
37648,16,986
37687,4,1002
37707,0,1
37706,0,1
37698,0,1
37700,0,0
37702,0,0
37699,0,1
37705,0,1
37704,0,1
37709,0,0
37703,0,38
37714,0,1
37713,0,1
37666,0,953
37715,0,1
37716,0,1
37718,0,1
37717,0,1
37708,0,0
37697,0,0
37720,0,1
37712,0,0
37711,0,1
37721,0,1
37722,0,1
37694,0,742
37723,0,229
37710,0,0
37672,0,678
37673,0,892
37682,0,792
37689,0,633
37669,0,783
37667,0,994
37671,0,771
37670,0,845
37695,0,773
37701,0,1
37661,0,793
37662,0,687
37663,0,708
37660,0,806
37719,0,1
37668,0,942
37665,0,888
37664,0,815
37674,0,665
37688,0,663
37686,0,901
37685,0,698
37690,0,789
37691,0,947
37693,0,783
37692,0,672
37684,0,627
37683,0,843
37677,0,788
37676,0,812
37675,0,841
37678,0,647
37679,0,622
37681,0,848
37680,0,748
37696,0,1
