room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
41671,4756,1481,36610,12234,2744,400,35676271,411392,1500,210400,989,7.4923262492095,67.211311591954
41673,4669,1423,36194,12101,2670,408,23390426,355970,1500,193417,860,4.1370725168193,79.596364069838
41661,4080,1424,31846,10647,2376,361,24064018,192492,1498,140135,717,6.5245902870259,55.625190770222
41672,4003,1413,31403,10494,2355,363,32249471,232234,1500,141736,763,2.9587041730241,69.937810474558
41348,3589,1438,28316,9480,2121,321,19035342,89722,1499,102658,341,6.4879950360647,58.414531407767
41668,3455,1401,26536,8870,1964,278,32161585,111194,1489,106313,640,3.2953876331257,62.803089804084
41674,3198,1383,24730,8274,1793,276,6242987,56939,1497,75857,206,8.2467233065091,71.24860698345
41665,3029,1407,23269,7770,1698,264,5635060,56762,1500,72357,153,6.7156602726999,71.000650568576
41569,2923,1443,22891,7660,1727,243,25441218,71008,1485,73262,560,10.072613894291,65.454692576266
41373,2672,1335,21024,7026,1550,241,8143681,36632,1499,58864,204,3.517015145394,64.769448720698
41622,2407,1404,18641,6221,1381,215,6243050,29118,1498,61468,160,12.144924326653,79.50931999407
41652,2259,1286,17583,5880,1322,192,15580444,50036,1282,48069,337,2.6870418664899,57.196126227514
41599,2172,1278,17217,5745,1243,192,6034942,20797,1359,48598,158,5.5872495395602,57.86662339584
41675,1919,1219,14970,4995,1087,176,6430991,18669,1329,43843,140,5.3217747695304,52.417866717953
41670,1766,1153,13652,4568,1013,133,17003933,28297,1184,36350,349,6.018866125503,56.547827881599
41320,1689,1134,13391,4477,958,152,5386449,15510,1180,39042,128,2.6685876484453,41.26928670149
41436,1670,1145,12886,4309,947,143,4906973,17720,1200,41864,114,5.4161898877218,50.161463070999
41746,1609,1390,12691,4245,949,143,11176917,44359,1366,36243,416,4.278858347141,63.498761036727
41612,1590,1103,12492,4176,905,147,5913281,12663,1145,34052,121,6.4683136994984,39.723557571358
41662,1549,1181,11981,4004,844,136,4757198,16413,1231,38694,119,4.7543579546817,52.365240645127
41627,1454,1027,11417,3806,780,128,4394149,12590,1057,34903,114,2.3937389180488,44.233561326281
41578,1412,1068,11200,3737,808,133,5431914,12950,1120,30945,131,6.6342146072433,39.174041901759
41425,1399,1004,11021,3685,761,119,4734434,11922,1042,31754,127,2.1815728195791,34.795937258819
41323,1395,1111,10876,3632,766,121,5352777,10823,1149,34195,100,6.2392690173526,42.045982409159
41437,1385,1041,10935,3658,774,125,4703542,10214,1074,31742,109,3.4572109656272,39.375967227395
41623,1369,1076,10237,3423,703,114,5604211,11243,1128,30789,153,10.440483578046,39.277550420574
41568,1345,1089,10708,3581,757,123,5049964,10065,1129,29901,119,4.1326520331672,41.469116311816
41642,1319,1128,10360,3470,749,122,5661172,8883,1176,30067,137,3.1578857745935,46.507612722773
41621,1279,969,10144,3388,723,118,5272289,8212,1009,25381,119,2.4829855481474,33.290813307732
41637,1273,1047,10037,3359,716,118,4945176,10459,1088,29452,123,6.6017090230753,38.181494186173
41499,1269,1069,10016,3350,722,119,5220795,11804,1129,26025,115,5.1318621613215,38.98587260895
41636,1244,1087,9761,3274,701,115,5355512,8635,1135,30123,127,70.970023100229,48.093571674883
41609,1229,1067,9707,3249,716,117,4972744,11175,1119,29459,122,6.395251114893,39.231754429632
41667,1213,1002,9582,3206,677,109,4946645,7900,1040,28577,85,2.1697944686069,36.862730911786
41414,1209,1092,9247,3093,614,104,4208176,13503,1137,30936,108,5.1986078921729,39.308894500194
41412,1189,1007,9145,3064,661,108,4256315,10519,1040,30190,107,3.0506708755424,38.359763136843
41669,1185,1047,9384,3134,671,111,5306614,7439,1081,29215,103,5.2226374582893,36.263884369344
41666,1169,627,9271,3096,689,97,26627903,20667,933,27001,168,4.197785549244,20.442994928906
41654,1157,995,8978,3014,634,104,5138155,8851,1038,27219,98,1.048924852866,37.779226511502
41397,1147,1043,9069,3038,624,103,5204381,9871,1095,27338,131,9.091318216931,35.191927877011
41656,1133,1046,9017,3009,654,110,4868710,8245,1080,23820,116,1.5287612446822,36.861796076161
41327,1119,1014,8826,2945,615,102,5345696,7432,1043,26213,117,6.1580551664855,37.709398298023
41454,1074,955,8502,2840,608,100,4927493,7928,982,24099,107,3.0323749116329,37.016456712668
41538,1019,952,8009,2671,559,95,4869163,8708,991,24967,109,2.5871969728844,33.533365646415
41660,993,1026,7808,2614,531,89,4674314,7621,1057,26969,115,1.5161623314005,38.70121821561
41524,959,947,7500,2511,530,87,5327875,6679,984,21834,127,4.1583467665385,35.246251559662
41439,829,960,6485,2167,451,76,4821542,5900,998,20246,108,2.3882473168207,35.347762583954
41492,809,987,6344,2123,438,74,4375945,4651,1011,16001,102,2.6826598850123,37.133200935817
41615,698,963,5553,1855,400,67,3927073,5052,989,13768,96,3.9825541667889,35.538645071477
41445,646,988,5062,1689,368,63,3678757,3936,1019,15710,73,9.7632789594678,33.141045317186
41659,643,983,5004,1675,344,59,3882591,3573,1013,14837,86,4.4704820368162,39.566181338617
41506,642,992,5004,1673,354,61,4281899,3365,1024,13581,79,6.2532977973235,35.054096685847
41342,639,981,5006,1673,361,59,3576597,2982,1004,12144,90,4.8030925037563,33.549566342053
41602,627,962,4893,1632,322,52,3810735,4112,985,14912,75,1.0208371389166,35.558290628903
41603,613,962,4826,1613,311,55,3848933,4121,1006,15346,78,1.7388561168113,37.272525145887
41658,612,957,4750,1585,317,52,3387993,3703,991,16042,62,12.911453639217,33.228582407733
41610,595,971,4634,1551,323,54,3836561,3836,1006,13939,87,6.9860132877328,31.14351812196
41488,593,980,4661,1555,316,55,3976329,3561,1002,12523,82,5.8613283688145,32.267260420904
41475,593,985,4693,1565,331,56,3730544,3080,1010,13401,67,3.4926592559161,37.464147102804
41645,589,971,4505,1508,286,48,3835762,3221,998,12846,96,4.2123937657779,35.395355674069
41635,589,983,4569,1531,314,53,3288411,4371,1009,16031,80,3.0714212366853,36.401278134375
