room,level,num_players,num_mobs_killed,num_towers_killed,num_minibosses_killed,num_bosses_killed,num_clicks,num_abilities_activated,num_players_reaching_milestone_level,num_ability_items_activated,num_active_players,time_simulating,time_saving
48520,56805899,1500,47282,15816,3738,622,37523343,2495166,1500,9423598,1099,8.3767645220741,57.796556333773
48275,33809740,1500,91976,30766,7758,1293,28085701,7484598,1500,7181394,793,16.494959782257,30.36668238604
48583,27541838,1500,4945,1650,336,56,39196611,399996,1500,3335111,965,2.943433851345,60.624903123192
48581,23231769,1500,11133,3720,883,147,41480087,556001,1500,2618754,926,2.6517944941295,44.634870390225
48293,19901059,1500,113344,37902,9543,1590,31831029,6833992,1500,4663159,723,5.5178249208139,23.11058787373
48294,18728699,1500,119330,39915,9948,1657,40681268,5964577,1429,4354119,597,14.80290245796,107.64603578968
48625,18679679,1500,135056,45168,10810,1801,12702640,2237383,1141,3224035,686,5.6981874638807,93.646187129634
48595,16935541,1500,47346,15831,3798,633,11151953,1227342,1500,3871562,894,14.211343580375,92.97701320912
48271,16457493,1500,147345,49271,12504,2084,31420013,6566163,1499,3945948,576,10.745491656343,59.047780893058
48274,10614399,1500,160412,53643,13518,2252,38663389,5182499,1500,3540429,473,9.7966377202693,120.75364859202
48297,10012419,1500,193226,64614,17094,2848,27353623,5465314,1152,2956359,493,7.0387168508275,126.99885454356
48296,9745429,1496,151092,50532,13206,2200,29778427,4496157,1170,2641281,422,7.9322256247459,61.765907543745
48403,9141719,1499,82861,27708,7080,1179,24052504,3833271,1163,2283905,504,7.090989575605,47.926110659462
48272,7328875,1495,156203,52233,13746,2291,60538753,7216797,1500,2731242,484,2.2708255343576,60.225128341983
48273,6763499,1487,134444,44961,11112,1851,39488100,5253515,1500,2343047,446,3.7193453557306,63.161034469298
48404,5834809,1495,135059,45183,11988,1997,26371729,2933274,1111,1612429,330,4.6372722894983,50.057875112833
48295,5254399,1500,142342,47610,13074,2178,20642316,4308745,1311,2113416,398,9.07722998686,61.297190003017
48376,5011188,1500,145375,48608,12984,2164,12783642,1339559,1050,1193003,162,5.6224819166472,215.23767161465
48380,2420867,1500,85422,28572,7242,1207,12431573,732915,1019,557865,152,3.0685349015648,272.2786061285
48237,2213258,1498,228380,76384,20316,3386,11310305,1493135,1094,1191275,123,3.9522868080313,284.46628994058
48173,1125899,1500,149799,50100,12930,2154,9703613,771883,995,590287,93,3.1242736721839,635.70011341568
48140,979419,1500,300734,100593,25698,4282,9680121,884771,994,753214,141,1.8017796577587,337.66883891237
48171,840263,1500,290842,97277,24996,4166,8381588,963872,999,735843,99,2.0172838436628,328.3541831027
48175,731891,1500,236971,79252,20340,3390,7929842,765897,1012,609659,92,2.0700171043062,308.15567693928
48241,708230,1499,297782,99584,25242,4207,9058697,919406,989,726414,106,9.2200651965705,457.94181028465
48151,679281,1500,218116,72949,18738,3123,7252645,695395,1003,598418,99,9.2769250638305,240.29068795462
48208,655999,1500,273385,91440,23916,3985,8858471,841084,1010,728413,99,5.7536807288421,564.79267988603
48141,595537,1500,45158,15104,3822,637,7755534,307105,984,243245,105,2.1016357989688,174.24455191047
48261,559755,1499,69454,23231,5904,984,7544482,337642,981,323298,72,6.7184872109428,319.67573530717
48179,559083,1500,223338,74694,19512,3252,7474196,698559,997,532320,109,0.92486958235723,359.35263728092
48159,465189,1500,172918,57828,15342,2556,8624796,498466,1008,439334,99,6.4650824406513,411.37530435002
48213,440057,1500,234003,78281,19746,3291,7904470,699031,1006,507554,100,1.3609804299225,304.52511905929
48196,439399,1500,209762,70146,18222,3036,7404411,535798,1028,522426,97,2.572635546246,305.72956568369
48264,418692,1500,184594,61734,15474,2579,6736126,490936,996,413173,80,5.5686447637683,427.64747612695
48189,384024,1500,305359,102123,26040,4340,6917880,850382,1003,576122,93,6.1618144725142,519.49531642488
48220,351289,1500,94581,31635,7720,1286,6614813,334252,1012,293973,81,2.6582234049369,280.11852963963
48221,332819,1500,83771,28011,7062,1176,5710609,289279,996,260429,136,5.6696911803371,160.49891964984
48174,327421,1500,144837,48440,13080,2180,6928409,335206,1003,309260,88,4.7272570322806,208.84408706296
48278,324699,1159,13616,4557,1000,166,3404933,123814,991,166758,81,2.7085563491419,480.41915863951
48233,311209,1499,134923,45123,11646,1940,6628103,412891,980,331771,87,1.8140504998718,293.83608187876
48144,306789,1500,140619,47031,12426,2070,7143136,430242,1004,317775,86,1.7768866169103,243.75287709541
48230,290120,1500,195242,65293,16662,2777,6687106,465503,1016,428368,72,3.7366513655377,395.06837079616
48190,277965,1500,62883,21020,5112,852,6007627,288636,993,277035,62,5.0760799012704,210.25204197849
48450,274037,1022,1480,484,144,24,2215354,29324,974,50189,41,3.5414108753702,37.682260838714
48224,249844,1500,99104,33155,8010,1335,6932963,380020,990,353781,79,2.6474006415617,297.76155887929
48157,224137,1500,205079,68577,17160,2860,6284347,507306,1012,370602,85,4.3823159115451,393.47644339557
48368,191229,1139,11813,3951,972,162,4009323,51307,979,76444,40,2.8343160146982,61.334441194253
48178,184603,1500,73751,24665,6312,1052,5893040,237412,1006,212193,125,4.0612496219911,244.10010996416
48263,172360,1473,46144,15431,3918,653,5482859,164487,995,160506,93,1.0503548470007,110.24993510139
48186,165566,1499,88511,29609,7434,1239,6377253,281052,999,247400,98,3.5162755951477,312.66340920395
48379,160139,1185,10547,3522,943,158,5658608,68862,1019,65978,59,5.4090100926344,72.929563858921
48449,146043,1000,1297,429,108,18,1409119,15364,988,47662,30,1.2859169694227,38.615445835129
48143,140631,1226,27348,9149,2244,374,3968213,100507,984,136696,54,5.2468408983123,134.76147132879
48218,136871,1500,87003,29092,7410,1235,5105150,215882,982,210686,67,1.1936440096964,176.87913002153
48291,129359,1139,9013,3012,808,134,3799465,29086,979,63847,44,7.2981437394385,112.26110400354
48154,124879,1213,40985,13710,3406,568,4455342,143435,997,152494,43,2.318578967674,111.64984798019
48236,123579,1355,54705,18297,4331,721,4921276,171393,1000,167568,65,5.8335684643046,117.4686102147
48209,116856,1224,70005,23405,5550,925,5203675,231354,1006,221960,64,9.0401207111311,196.6789849275
48228,114022,1268,42350,14169,3504,584,4476300,172327,993,153488,63,8.166986959963,239.43751634357
48269,113028,1072,17029,5693,1518,253,3585645,57244,944,96960,28,0.48249133117554,92.862865431468
48158,106342,1308,45018,15063,3510,585,4223600,179402,993,136203,52,2.3104923670904,188.14895960422
48184,98221,1246,37762,12632,3102,517,4389414,126296,994,137608,60,40.619670404098,165.26135235435
48649,91898,1046,5969,1997,450,75,3557144,52397,1005,47102,47,5.8298820861331,73.275742981277
48201,91659,1314,83502,27915,6940,1156,5315012,165067,1010,183600,59,2.0526957634264,136.25222668129
48232,90279,1172,26765,8952,2170,361,4099664,98915,998,119072,44,2.6812269806418,103.17880867773
48253,87319,1165,24962,8349,2058,342,4871923,112459,981,93028,39,6.7929859984549,167.93845000889
48155,84289,1327,50708,16956,4296,716,5276183,145147,996,166005,58,0.82694484036269,133.04064716101
48212,83581,1238,19788,6618,1482,247,4282275,77510,994,97328,52,2.0368690187417,99.121925706631
48206,83374,1240,21495,7189,1830,305,5376506,69730,999,95230,58,0.94736962610613,104.88722398136
48377,81999,1094,5163,1725,500,83,3907109,24104,1008,39521,43,1.460547133969,42.692179952769
48308,81949,1088,11450,3831,872,146,3829642,45845,985,53045,40,4.050971806872,78.129307948297
48150,80837,1140,26084,8722,2088,348,4191937,105455,983,113037,48,10.022839031252,145.4623675758
48590,80052,1007,17684,5913,1404,234,1891529,131229,984,111018,25,13.244399837125,66.213295481477
48259,79988,1127,24253,8110,1896,316,5160905,78888,983,89155,38,4.6815406896648,101.04071357056
48231,78245,1179,15692,5248,1392,232,4449172,46879,980,73613,57,1.1832252889076,120.44471398622
48247,78053,1258,26333,8809,2148,358,5099357,110575,984,120652,49,2.913296164381,106.68318988843
48385,77555,1128,8922,2985,762,127,4126050,42978,986,45094,37,2.5460508591816,125.90768927126
48142,77163,1217,25051,8381,2070,345,4596290,71968,987,106259,51,8.020513150307,151.53013235519
48361,75849,1057,7887,2637,746,124,2665258,31183,977,54656,36,3.2864816687883,91.442246956035
48202,74490,1251,62010,20744,4830,805,4598101,224933,1000,178638,56,24.599288325869,91.366713195104
48197,73199,1132,19929,6669,1674,279,4538166,50590,982,74021,53,1.9543882127436,82.299153004096
48166,72109,1152,21522,7197,1833,305,4346820,67406,979,105720,45,6.1753410551624,140.90797796679
48242,67679,1162,63312,21168,5361,893,6293065,176000,996,137646,58,3.7383968568081,111.1973364475
48276,66343,1136,22180,7415,1734,289,4310226,96510,995,88615,45,2.7771028999338,155.23764490673
48198,65989,1240,27409,9168,2165,361,3963154,128489,997,155236,55,1.87123971636,109.68913040781
48240,65079,1233,52083,17418,4314,718,5000747,181015,995,175576,59,1.9289900832944,244.27443073227
48446,60841,1083,6176,2061,462,77,3040967,13793,997,31450,27,14.200789935441,98.826487947699
48244,60739,1146,26307,8799,2215,369,4288214,102061,986,108075,38,2.2432250440364,184.08999876687
48216,59896,1083,10715,3582,894,149,2795353,27899,972,47225,37,1.4834359341676,59.231339311143
48329,59530,1066,8857,2960,852,142,3265854,29854,988,51087,36,5.3658855508717,37.346787222701
48181,58375,1136,18393,6150,1572,262,3954076,37502,993,59122,41,4.3349882023989,102.56402269603
48328,57439,1062,10449,3489,798,134,3088427,59704,990,52112,34,3.3214290703677,101.42899576552
48165,54564,1144,10599,3544,930,155,4478999,49080,993,63543,33,4.2852181560101,76.107094274195
48650,53498,1012,3071,1025,324,54,2227514,11899,981,22795,41,1.9686291782529,61.778287317791
48323,53349,1060,5933,1971,434,73,2740023,20146,988,39309,41,1.4964293467013,42.878001599137
48152,53209,1220,26713,8937,2190,365,3896573,103207,990,107656,51,1.9486083082368,144.3070329889
48252,52049,1281,26870,8982,2110,351,5037696,96980,995,105020,35,1.4804560839727,99.666858732673
48200,50737,1074,30847,10319,2592,432,4990270,78681,989,99159,41,0.67230814788889,70.597772199711
48480,50220,1087,3991,1329,354,59,3256439,17263,987,28940,25,3.435194366503,72.423727179031
48265,49929,1088,10283,3438,1037,173,3495801,33849,994,67744,41,8.3423133081039,143.73316347869
48401,47780,987,1198,387,90,15,1225620,3924,986,18915,26,1.7127772433503,16.771811364064
48203,46799,1233,44044,14733,3624,604,3643531,173089,991,154459,43,7.647874280976,81.011400304357
48243,46155,1165,26484,8859,2046,341,3902681,84087,983,108814,26,1.1578566732489,112.54345107681
48191,46019,1170,13247,4431,1055,176,3337980,48064,987,86086,34,3.7705921870092,102.58370197004
48195,45949,1122,10913,3651,1077,179,3341980,31710,987,60763,32,2.8097375747157,125.28782613745
48424,45900,1086,5606,1871,480,80,2464640,18123,997,30694,39,4.2272102068023,99.123382353637
48444,45030,1055,2547,845,258,43,1969006,11588,987,29327,27,5.2197973391839,86.843586971459
48690,44448,1016,4422,1478,360,60,2666782,25109,979,31151,64,6.5204190359193,66.787914898091
48280,43962,1086,9616,3213,822,137,2731860,30677,995,43800,35,2.8892857666179,131.17976123279
48356,43790,1077,3986,1327,408,68,2572308,10791,989,27587,21,3.1741765802936,56.763832522707
48177,43689,1125,16531,5529,1445,241,4122216,48386,994,77659,42,2.336351477354,95.777344443378
48345,43635,1094,14619,4889,966,161,2757995,78084,956,76882,27,2.3582837612942,80.09391462025
48370,43389,1111,10884,3645,886,147,3471161,35879,988,52288,37,3.5979595281793,77.194385658207
48176,42884,1190,29718,9947,2406,401,4257121,80774,993,102079,47,5.1697233931483,86.367079982187
48407,42869,1089,3278,1086,306,51,2332375,9348,992,28050,33,2.8116224803782,64.050564929467
48684,40435,995,1578,522,132,22,1272791,3729,983,13113,33,11.099034283233,43.785119263187
48594,39709,1028,2848,948,294,49,2078564,8509,983,23087,36,1.4872139540384,53.198236020667
48438,38778,1062,2571,854,306,51,2147452,9653,987,22122,17,7.366560175445,90.61048177547
48340,38549,1119,10706,3582,949,158,3251238,33077,1002,52486,28,2.5045815022033,75.729247098979
48332,38529,1037,14118,4722,1034,173,1861009,127200,991,72753,26,5.6179716701978,68.64817425187
48145,38432,1124,26101,8736,2106,351,3729372,66613,977,81342,40,1.9725111467973,117.84852420037
48372,38376,1096,3746,1241,282,47,2878307,10838,980,31425,28,7.0503225609654,85.799628623864
48217,38059,1161,51572,17247,4302,716,5713059,146249,994,130595,71,1.5295027921249,135.82617794123
48593,37798,1010,3899,1304,408,68,1804346,11471,984,28702,33,5.6384248958366,84.701515754576
48246,37488,1052,11378,3804,966,161,3934268,41069,987,57467,49,3.3635243584656,69.303570868352
48663,37359,995,1982,657,210,35,1553778,7432,980,20815,11,1.1817854816525,70.204772111789
48307,36029,1061,5055,1677,364,60,3182158,20533,987,33116,39,11.599689496354,52.772000857397
48367,35279,1058,6836,2283,565,94,3134519,25924,991,43595,30,4.4770902029298,64.095963705623
48530,33738,987,1108,363,66,11,1069037,3919,998,17748,23,6.4201159946341,51.622472773292
48279,32894,1089,8547,2854,720,120,3141967,29171,984,42770,42,1.5053218671172,59.431011668303
48254,32597,1047,10712,3582,984,164,3172424,32509,964,62875,27,1.5505316336738,64.019759098786
48298,32589,1059,4931,1635,420,70,2318032,17624,970,43180,28,6.1383500468508,63.169995262772
48163,32494,1130,22730,7604,1764,294,3627187,63862,988,83474,37,11.663675858207,82.522609692499
48249,30987,1100,17538,5863,1578,263,3908966,41172,978,60003,35,1.0851018195428,74.076457183144
48260,30489,1170,12122,4053,1080,180,3440142,43956,991,55652,30,4.5903090071454,81.222040795552
48245,30289,1177,24367,8148,2154,358,3700002,74857,984,109285,40,7.9842828805335,153.44713818997
48199,29792,1149,45759,15297,3726,621,4414479,101085,1000,136834,51,3.0496762824831,91.869317068609
48547,29508,1002,1342,439,144,24,1381780,6309,986,15388,26,3.4669366330665,40.313367642012
48251,29269,1104,10262,3426,867,145,2783234,34911,983,60763,32,1.8741293190629,70.042211063021
48335,28956,1082,6371,2124,594,99,2373218,19421,990,43855,27,0.89713161860137,86.848752486485
48598,28509,1002,1651,543,120,20,1420283,5627,997,21721,31,3.6125602991181,71.830581871982
48359,28364,1039,3797,1254,336,56,1846823,10030,992,29850,13,2.6549783343661,47.72012306287
48705,28266,976,1082,360,108,18,1141607,5077,983,16977,38,2.7485040148537,51.146834809811
48207,28049,1099,15520,5190,1296,216,3759852,69486,986,69019,40,0.82995003844283,64.254078338015
48358,27966,1026,5481,1830,372,62,2589173,22005,975,38175,30,2.4470333142247,97.554900775183
48153,27869,1096,10641,3558,858,143,3490986,28905,973,63576,51,6.8273676174143,107.33827964894
48371,27367,1071,4197,1392,300,50,2103843,15057,995,35412,21,1.1742816016857,50.680769902285
48210,27274,1167,19640,6575,1656,276,3860637,53044,975,79297,33,4.5072836407754,104.70745168568
48227,27269,1110,11249,3762,972,162,3057259,28406,992,56533,21,2.5213221310211,60.110895551815
48500,27123,1051,6247,2087,606,101,2453604,21667,976,27054,29,37.974298866783,85.404040576916
48267,26719,1256,20027,6693,1797,299,4172190,66616,1046,84400,43,4.1552495414974,132.55891733739
48194,26706,1127,9068,3027,792,132,2956647,28304,984,61026,24,2.9778557516545,103.70962032663
48156,26489,1173,15922,5325,1463,244,2966012,48384,993,74633,35,7.978253043042,142.82089684401
48610,26476,993,1735,576,186,31,1736626,6151,981,18759,26,4.0768795831722,61.382754804216
48698,26186,1015,1755,585,192,32,1780849,6816,993,18817,46,19.001227396513,61.896188944847
48299,25783,1029,9697,3244,816,136,2601767,23849,977,47081,28,1.6080965842919,63.383044401492
48482,25670,1055,2857,946,210,35,1989789,9289,987,28147,11,11.41464503025,80.751043527298
48310,25466,1089,13051,4363,1044,174,2802425,28471,995,54610,29,5.8543993671337,132.71211430028
48164,24777,1098,18488,6180,1482,247,3343822,45403,992,70679,37,6.702366705423,64.065961659264
48235,24389,1106,13448,4497,1162,193,3184725,61090,989,64219,45,10.12066851345,62.996454519254
48215,24192,1092,10816,3617,918,153,2857458,31001,990,58730,22,1.9170528658519,74.380891558265
48695,23894,1001,2545,852,246,41,1328524,8029,997,17873,16,4.6259673834367,64.545389321848
48454,23768,1010,1562,513,78,13,1329057,8294,998,21550,12,7.2265285578773,83.956253989973
48349,23739,1023,7592,2538,702,116,2625611,11534,979,36314,33,5.761031368858,96.221618160951
48543,23249,1018,2754,909,231,39,1829052,9292,994,18480,31,4.7456081043154,65.117700114911
